Sort Index,Vocab-Japan,Vocab-Furigana,Vocab-English,audio file,Sent-Japan,Sent-Furigana,Sent-English,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent
JLPT_Tango_N4_0016,夜中,夜中[よなか],late night,[sound:JLPT_Tango_N4_0016.mp3],毎日、夜中まで勉強しています。,毎日[まいにち]、 夜中[よなか]まで 勉強[べんきょう]しています。,I study late into the night everyday.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0016-005,真夜中,真夜中[まよなか],late at night,[sound:JLPT_Tango_N4_0016-005.mp3],,,,,,,Related meaning to 夜中,Ch 01 - 私たちの毎日,Sect 01 - 時間,
JLPT_Tango_N4_0017,明日,明日[あす],tomorrow,[sound:JLPT_Tango_N4_0017.mp3],明日の午後までにメールを送ってください。,明日[あす]の 午後[ごご]までにメールを 送[おく]ってください。,Please send the e-mail by noon tomorrow.,,,,These characters are read as あす in a business context and あした in general conversation.,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0017-005,明日,明日[あした],tomorrow,[sound:JLPT_Tango_N4_0017-005.mp3],,,,,,,These characters are read as あす in a business context and あした in general conversation.,Ch 01 - 私たちの毎日,Sect 01 - 時間,
JLPT_Tango_N4_0018,おととい,おととい,the day before yesterday,[sound:JLPT_Tango_N4_0018.mp3],かげをひいて、おとといから熱があります。,かげをひいて、おとといから 熱[ねつ]があります。,"I caught a cold, and have had a fever since the day before yesterday.",,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0019,ゆうべ,ゆうべ,"evening, last night",[sound:JLPT_Tango_N4_0019.mp3],ゆうべ、うちでパーティーをしました。,ゆうべ、うちでパーティーをしました。,I had a party at my house last night.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0019-005,きのうの晩,きのうの 晩[ばん],"evening, last night",[sound:JLPT_Tango_N4_0019-005.mp3],,,,,,,Same meaning as ゆうべ,Ch 01 - 私たちの毎日,Sect 01 - 時間,
JLPT_Tango_N4_0019-006,きのうの夜,きのうの 夜[よる],"evening, last night",[sound:JLPT_Tango_N4_0019-006.mp3],,,,,,,Same meaning as ゆうべ,Ch 01 - 私たちの毎日,Sect 01 - 時間,
JLPT_Tango_N4_0020,今夜,今夜[こんや],tonight,[sound:JLPT_Tango_N4_0020.mp3],今夜はとても寒いです。,今夜[こんや]はとても 寒[さむ]いです。,It is very cold tonight.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0020-005,今晩,今晩[こんばん],tonight,[sound:JLPT_Tango_N4_0020-005.mp3],,,,,,,Same meaning as 今夜,Ch 01 - 私たちの毎日,Sect 01 - 時間,
JLPT_Tango_N4_0021,今週,今週[こんしゅう],this week,[sound:JLPT_Tango_N4_0021.mp3],今週は、あまりいそがしくないです。,今週[こんしゅう]は、あまりいそがしくないです。,I'm not so busy this week.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0022,今月,今月[こんげつ],this month,[sound:JLPT_Tango_N4_0022.mp3],今月、大切なテストが３つもあります。,今月[こんげつ]、 大切[たいせつ]なテストが ３[みっ]つもあります。,I have three important tests this month.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0023,再来週,再来週[さらいしゅう],the week after next,[sound:JLPT_Tango_N4_0023.mp3],来週はいそがしいので、再来週会いましょう。,来週[らいしゅう]はいそがしいので、 再来週[さらいしゅう] 会[あ]いましょう。,"I'm busy this week, so let's meet the week after next.",,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0024,再来月,再来月[さらいげつ],the month after next,[sound:JLPT_Tango_N4_0024.mp3],再来月から１年間ニューヨークへ行きます。,再来月[さらいげつ]から１ 年間[ねんかん]ニューヨークへ 行[い]きます。,I'm going to New York for a year starting from the month after next.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0025,再来年,再来年[さらいねん],the year after next,[sound:JLPT_Tango_N4_0025.mp3],再来年、この国でオリンピックがあります。,再来年[さらいねん]、この 国[くに]でオリンピックがあります。,"The year after next, the Olympics will be held in this country.",,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0026,おととし,おととし,the year before last,[sound:JLPT_Tango_N4_0026.mp3],日本へ来たのはおととしの４月です。,日本[にほん]へ 来[き]たのはおととしの ４月[しがつ]です。,I came to Japan in April of the year before last.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0027,毎週,毎週[まいしゅう],every week,[sound:JLPT_Tango_N4_0027.mp3],毎週土曜日は友だちとテニスをしています。,毎週[まいしゅう] 土曜日[どようび]は 友[とも]だちとテニスをしています。,I play tennis with my friend on Saturday every week.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0028,毎月,毎月[まいつき],every month,[sound:JLPT_Tango_N4_0028.mp3],毎月二十日にアルバイト代がもらえます。,毎月[まいつき] 二十日[はつか]にアルバイト 代[だい]がもらえます。,I get paid for my part-time job on the 20 of every month.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0029,毎年,毎年[まいとし],every year,[sound:JLPT_Tango_N4_0029.mp3],毎年、クリスマスに国へ帰ります。,毎年[まいとし]、クリスマスに 国[くに]へ 帰[かえ]ります。,I return to my country on Christmas of every year.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0030,平日,平日[へいじつ],weekday,[sound:JLPT_Tango_N4_0030.mp3],平日は仕事がとてもいそがしいです。,平日[へいじつ]は 仕事[しごと]がとてもいそがしいです。,I'm very busy at work on weekdays.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0030-005,週末,週末[しゅうまつ],weekend,[sound:JLPT_Tango_N4_0030-005.mp3],,,,,,,Related meaning to 平日,Ch 01 - 私たちの毎日,Sect 01 - 時間,
JLPT_Tango_N4_0031,最初,最初[さいしょ],first,[sound:JLPT_Tango_N4_0031.mp3],最初に「あいうえお」をおぼえました。,最初[さいしょ]に「あいうえお」をおぼえました。,I learned あいうえお first.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0032,最中,最中[さいちゅう],in the middle (of doing ~),[sound:JLPT_Tango_N4_0032.mp3],テストの最中に教室を出てはいけません。,テストの 最中[さいちゅう]に 教室[きょうしつ]を 出[で]てはいけません。,Do not leave the classroom during the test.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0033,最後,最後[さいご],last,[sound:JLPT_Tango_N4_0033.mp3],このバスは最後に東京駅に着きます。,このバスは 最後[さいご]に 東京[とうきょう] 駅[えき]に 着[つ]きます。,This bus will arrive at Tokyo Station last.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0034,先に,先[さき]に,"first, before, ahead of",[sound:JLPT_Tango_N4_0034.mp3],A　「お昼ごはんに行きましょう。」<div>B　「私はまだ仕事があるので、先に行ってください。」</div>,A　「お 昼[ひる]ごはんに 行[い]きましょう。」 <div>B　「 私[わたし]はまだ 仕事[しごと]があるので、 先[さき]に 行[い]ってください。」</div>,"A: Let's go eat lunch.<div>B: I still have some work to do, so please go ahead of me.</div>",,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0035,夫,夫[おっと],husband,[sound:JLPT_Tango_N4_0035.mp3],夫は毎日おそくまで仕事をしています。,夫[おっと]は 毎日[まいにち]おそくまで 仕事[しごと]をしています。,My husband works late everyday.,,,,Other people's husbands are referred to as ご主人,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0035-005,主人,主人[しゅじん],my husband,[sound:JLPT_Tango_N4_0035-005.mp3],,,,,,,Other people's husbands are referred to as ご主人. Related meaning to 夫,Ch 01 - 私たちの毎日,Sect 02 - 家族,
JLPT_Tango_N4_0036,妻,妻[つま],wife,[sound:JLPT_Tango_N4_0036.mp3],妻はカレーが大好きです。,妻[つま]はカレーが 大好[だいす]きです。,My wife loves carry.,,,,Other people's wives are referred to as おくさん,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0036-005,家内,家内[かない],my wife,[sound:JLPT_Tango_N4_0036-005.mp3],,,,,,,Other people's wives are referred to as おくさん. Related meaning to 妻,Ch 01 - 私たちの毎日,Sect 02 - 家族,
JLPT_Tango_N4_0037,両親,両親[りょうしん],parents,[sound:JLPT_Tango_N4_0037.mp3],両親はイギリスに住んでいます。,両親[りょうしん]はイギリスに 住[す]んでいます。,My parents live in England.,,,,,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0038,むすこ,むすこ,son,[sound:JLPT_Tango_N4_0038.mp3],むすこは小学校からサッカーをやっています。,むすこは 小学校[しょうがっこう]からサッカーをやっています。,My son has been playing soccer since elementary school.,,,,Other people's sons are referred to むすこさん。,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0039,むすめ,むすめ,daughter,[sound:JLPT_Tango_N4_0039.mp3],むすめは勉強よりスポーツのほうが好きです。,むすめは 勉強[べんきょう]よりスポーツのほうが 好[す]きです。,My daughter likes sports more than studying.,,,,Other people's daughters are referred to as むすめさん or おじょうさん。,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0040,お子さん,お 子[こ]さん,"child, children",[sound:JLPT_Tango_N4_0040.mp3],先生のお子さんは今中学生ですか。,先生[せんせい]のお 子[こ]さんは 今[いま] 中学生[ちゅうがくせい]ですか。,Is your child now a junior high school student?,,,,,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0041,祖父,祖父[そふ],grandfather,[sound:JLPT_Tango_N4_0041.mp3],祖父は小学校の先生でした。,祖父[そふ]は 小学校[しょうがっこう]の 先生[せんせい]でした。,My grandfather was an elementary school teacher.,,,,おじいさん can be used outside of the family to mean a elderly man.,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0041-005,おじいさん,おじいさん,"grandfather, elderly man",[sound:JLPT_Tango_N4_0041-005.mp3],,,,,,,おじいさん can be used outside of the family to mean a elderly man. Related meaning to 祖父,Ch 01 - 私たちの毎日,Sect 02 - 家族,
JLPT_Tango_N4_0042,祖母,祖母[そぼ],grandmother,[sound:JLPT_Tango_N4_0042.mp3],私は祖母が大好きです。,私[わたし]は 祖母[そぼ]が 大好[だいす]きです。,I love my grandmother.,,,,おばあさん can be used outside of the family to mean a elderly woman.,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0042-005,おばあさん,おばあさん,"grandmother, elderly woman",[sound:JLPT_Tango_N4_0042-005.mp3],,,,,,,おばあさん can be used outside of the family to mean a elderly woman. Related meaning to 祖母,Ch 01 - 私たちの毎日,Sect 02 - 家族,
JLPT_Tango_N4_0043,まご,まご,grandchild,[sound:JLPT_Tango_N4_0043.mp3],祖父と祖母にはまごか８人います。,祖父[そふ]と 祖母[そぼ]にはまごか８ 人[にん]います。,My grandfather and grandmother have eight grandchildren.,,,,Other people's grandchildren are referred to as おまごさん。,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0044,おじ,おじ,uncle,[sound:JLPT_Tango_N4_0044.mp3],このおじは母の弟です。,このおじは 母[はは]の 弟[おとうと]です。,This uncle is my mother's younger brother.,,,,おじさん can be used outside of the family to mean a middle-aged man.,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0044-005,おじさん,おじさん,"uncle, middle-aged man",[sound:JLPT_Tango_N4_0044-005.mp3],,,,,,,おじさん can be used outside of the family to mean a middle-aged man. Related meaning to おじ,Ch 01 - 私たちの毎日,Sect 02 - 家族,
JLPT_Tango_N4_0045,おば,おば,aunt,[sound:JLPT_Tango_N4_0045.mp3],おばはとても料理が上手です。,おばはとても 料理[りょうり]が 上手[じょうず]です。,My aunt is very good at cooking.,,,,おばさん can ba used outside of the family to mean a middle-aged woman.,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0045-005,おばさん,おばさん,"aunt, elderly woman",[sound:JLPT_Tango_N4_0045-005.mp3],,,,,,,おばさん can ba used outside of the family to mean a middle-aged woman. Related meaning to おば,Ch 01 - 私たちの毎日,Sect 02 - 家族,
JLPT_Tango_N4_0046,親せき,親[しん]せき,relatives,[sound:JLPT_Tango_N4_0046.mp3],姉の結婚式に親せきだたくさん来ます。,姉[あね]の 結婚式[けっこんしき]に 親[しん]せきだたくさん 来[き]ます。,Many of my relatives are going to attend my older sister's wedding.,,,,,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0047,ペット,ペット,pet,[sound:JLPT_Tango_N4_0047.mp3],このアパートでペットは飼えません。,このアパートでペットは 飼[か]えません。,You cannot have any pets in this apartment.,,,,,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0047-005,ペットショップ,ペットショップ,pet shop,[sound:JLPT_Tango_N4_0047-005.mp3],,,,,,,Related meaning to ペット,Ch 01 - 私たちの毎日,Sect 02 - 家族,
JLPT_Tango_N4_0048,似る,似[に]る,"to look similar to, to resemble",[sound:JLPT_Tango_N4_0048.mp3],私は母に、姉は父に似ています。,私[わたし]は 母[はは]に、 姉[あね]は 父[ちち]に 似[に]ています。,I look like my mother and my older sister resembles my father.,,,,Usually used in the form 似ている in actual sentences.,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0049,（心配を）かける,（ 心配[しんぱい]を）かける,"to make worry, to cause worry",[sound:JLPT_Tango_N4_0049.mp3],両親に心配をかけてはいけません。,両親[りょうしん]に 心配[しんぱい]をかけてはいけません。,You mustn't make your parents worry.,,,,,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0050,しかる,しかる,to scold,[sound:JLPT_Tango_N4_0050.mp3],子どものとき、ははによくしかられました。,子[こ]どものとき、ははによくしかられました。,I was often scolded by my mother when I was a child.,,,,,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0051,ほめる,ほめる,to praise,[sound:JLPT_Tango_N4_0051.mp3],テストで１００点をとって、父にほめられました。,テストで １００[ひゃく] 点[てん]をとって、 父[ちち]にほめられました。,"I got 100 points on the test, and my father praised me.",,,,,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0052,飼う,飼[か]う,"to own, to have",[sound:JLPT_Tango_N4_0052.mp3],うさぎを飼ってみたいです。,うさぎを 飼[か]ってみたいです。,I want to own a rabbit.,,,,,Ch 01 - 私たちの毎日,Sect 02 - 家族,X
JLPT_Tango_N4_0053,アパート,アパート,apartment,[sound:JLPT_Tango_N4_0053.mp3],今のアパートは前のところより広いです。,今[いま]のアパートは 前[まえ]のところより 広[ひろ]いです。,My current apartment is much more spacious than my old one.,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0054,マンション,マンション,condominium,[sound:JLPT_Tango_N4_0054.mp3],うちのマンションは駅から歩いて３分です。,うちのマンションは 駅[えき]から 歩[ある]いて３ 分[ぷん]です。,My condominium is a three-minute walk from the station.,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0055,家賃,家賃[やちん],rent,[sound:JLPT_Tango_N4_0055.mp3],来月から家賃が少し高くなります。,来月[らいげつ]から 家賃[やちん]が 少[すこ]し 高[たか]くなります。,Rent is going to be a little higher starting next month.,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0056,管理人,管理[かんり] 人[にん],custodian,[sound:JLPT_Tango_N4_0056.mp3],マンションにはいつも管理人さんがいます。,マンションにはいつも 管理[かんり] 人[にん]さんがいます。,There is always a custodian in my condominium building.,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0057,住所,住所[じゅうしょ],address,[sound:JLPT_Tango_N4_0057.mp3],田中さんの住所を知っていますか。,田中[たなか]さんの 住所[じゅうしょ]を 知[し]っていますか。,Do you know Tanaka-san's address?,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0058,建てる,建[た]てる,to build/to raise,[sound:JLPT_Tango_N4_0058.mp3],しょうらい、大きい家を建てたいです。,しょうらい、 大[おお]きい 家[いえ]を 建[た]てたいです。,"In the future, I want to build a big house.",,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0059,建つ,建[た]つ,to be built,[sound:JLPT_Tango_N4_0059.mp3],となりに大きいビルが建ちました。,となりに 大[おお]きいビルが 建[た]ちました。,A big building was built next door.,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0060,立てる,立[た]てる,to stand (something),[sound:JLPT_Tango_N4_0060.mp3],ドアのところにかさを立てておきます。,ドアのところにかさを 立[た]てておきます。,I stood my umbrella by the door.,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0061,立つ,立[た]つ,to stand (up),[sound:JLPT_Tango_N4_0061.mp3],家の前に大きい木が立っています。,家[いえ]の 前[まえ]に 大[おお]きい 木[き]が 立[た]っています。,There is a big tree standing in front of the house.,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0062,ひっこし＜する＞,ひっこし＜する＞,moving,[sound:JLPT_Tango_N4_0062.mp3],明日はひっこしです。,明日[あした]はひっこしです。,I'm moving tomorrow.,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0062-005,ひっこす,ひっこす,to move,[sound:JLPT_Tango_N4_0062-005.mp3],,,,,,,Related meaning to ひっこし＜する＞,Ch 01 - 私たちの毎日,Sect 03 - 家,
JLPT_Tango_N4_0063,うつす,うつす,to move/to relocate (something),[sound:JLPT_Tango_N4_0063.mp3],となりの部屋にテーブルをうつしました。,となりの 部屋[へや]にテーブルをうつしました。,I moved the table to the room next door.,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0064,うつる,うつる,to move/to relocate,[sound:JLPT_Tango_N4_0064.mp3],駅前のビルに郵便局がうつります。,駅前[えきまえ]のビルに 郵便[ゆうびん] 局[きょく]がうつります。,The post office moves to the building in front of the station.,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0065,自宅,自宅[じたく],one's home,[sound:JLPT_Tango_N4_0065.mp3],これは私の自宅の電話番号です。,これは 私[わたし]の 自宅[じたく]の 電話[でんわ] 番号[ばんごう]です。,This is my home phone number.,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0066,お宅,お 宅[たく],residence,[sound:JLPT_Tango_N4_0066.mp3],先生のお宅はどちらですか。,先生[せんせい]のお 宅[たく]はどちらですか。,Where is the teacher's residence?,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0067,訪問＜する＞,訪問[ほうもん]＜する＞,visit,[sound:JLPT_Tango_N4_0067.mp3],明日、友だちの家を訪問します。,明日[あした]、 友[とも]だちの 家[いえ]を 訪問[ほうもん]します。,"Tomorrow, I am going to visit my friend's house.",,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0068,招待＜する＞,招待[しょうたい]＜する＞,invitation,[sound:JLPT_Tango_N4_0068.mp3],今度の週末、友だちを家に招待します。,今度[こんど]の 週末[しゅうまつ]、 友[とも]だちを 家[いえ]に 招待[しょうたい]します。,I am going to invite my friend to my house this weekend.,,,,,Ch 01 - 私たちの毎日,Sect 03 - 家,X
JLPT_Tango_N4_0068-005,招待状,招待[しょうたい] 状[じょう],"invitation, letter of invitation",[sound:JLPT_Tango_N4_0068-005.mp3],,,,,,,Related meaning to 招待＜する＞,Ch 01 - 私たちの毎日,Sect 03 - 家,
