Sort,Sort Index,Vocabulary-Japan,Vocab-Furigana,Vocab-English,Audio File,Sent-Japan,Sent-Furigana,Sent-English,Alternate,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent,Reading,Tag,Entry Type
13,JLPT_Tango_N1_0007,よこす,,send,[sound:JLPT_Tango_N1_0007.mp3],週に一度は母親が電話をよこす。,,My mother calls me once a week.,,,,,,,,X,7,N1単語3000_1-1,Main
14,JLPT_Tango_N1_0008,女房,,wife,[sound:JLPT_Tango_N1_0008.mp3],【A】：今日、一杯 どう？【B】：女房がうるさいから、帰るよ。,,A: How about a drink today? B: My wife would be mad so I’m taking off.,,,,,,,,X,8,N1単語3000_1-1,Main
15,JLPT_Tango_N1_0008-011,家内,,wife,[sound:JLPT_Tango_N1_0008-011.mp3],,,,,,,,,,,,8.1,N1単語3000_1-1,Additional
16,JLPT_Tango_N1_0009,停車,,husband,[sound:JLPT_Tango_N1_0009.mp3],【A】：ご主人、単身赴任なの？　【B】：亭主は元気で留守がいいって言うじゃない。,,"A: Is your husband away on assignment alone? B: As the saying goes,”Best that the husband is away and well”.",,,,,,,,X,9,N1単語3000_1-1,Main
17,JLPT_Tango_N1_0009-011,亭主関白,,domineering husband,[sound:JLPT_Tango_N1_0009-011.mp3],,,,,,,,,,,,9.1,N1単語3000_1-1,Additional
18,JLPT_Tango_N1_0009-012,旦那,,husband,[sound:JLPT_Tango_N1_0009-012.mp3],,,,,,,,,,,,9.2,N1単語3000_1-1,Additional
19,JLPT_Tango_N1_0010,温もり,,warmth,[sound:JLPT_Tango_N1_0010.mp3],結婚したら、温もりのある家庭を作りたい。,,I wanted to get married and build a household full of warmth.,,,,,,,,X,10,N1単語3000_1-1,Main
20,JLPT_Tango_N1_0010-011,温かみ,,warmth,[sound:JLPT_Tango_N1_0010-011.mp3],,,,,,,,,,,,10.1,N1単語3000_1-1,Additional
21,JLPT_Tango_N1_0011,授かる,,be given,[sound:JLPT_Tango_N1_0011.mp3],姉夫婦が女の子を授かった,,My elder sister and her husband are having a baby girl,,,,,,,,X,11,N1単語3000_1-1,Main
22,JLPT_Tango_N1_0011-011,（を）授ける,,receive,[sound:JLPT_Tango_N1_0011-011.mp3],,,,,,,,,,,,11.1,N1単語3000_1-1,Additional
23,JLPT_Tango_N1_0012,名付ける,,name,[sound:JLPT_Tango_N1_0012.mp3],日本では昔、長男を太郎と名付けることが多かった。,,"In Japan, first-born sons were historically often named Taro.",,,,,,,,X,12,N1単語3000_1-1,Main
24,JLPT_Tango_N1_0012-011,名付け親,,goodparent,[sound:JLPT_Tango_N1_0012-011.mp3],,,,,,,,,,,,12.1,N1単語3000_1-1,Additional
25,JLPT_Tango_N1_0012-012,命名（する）,,give a name,[sound:JLPT_Tango_N1_0012-012.mp3],,,,,,,,,,,,12.2,N1単語3000_1-1,Additional
26,JLPT_Tango_N1_0013,すやすや,,sleep soundly,[sound:JLPT_Tango_N1_0013.mp3],赤ちゃんがやすやす眠っている。,,The baby is fast asleep.,,,,,,,,X,13,N1単語3000_1-1,Main
27,JLPT_Tango_N1_0014,しぐさ,,gesture,[sound:JLPT_Tango_N1_0014.mp3],娘のしぐさは、私によく似ているらしい。,,My daugther’s gestures are apparently very much like mine.,,,,,,,,X,14,N1単語3000_1-1,Main
28,JLPT_Tango_N1_0015,愛しい,,adorable,[sound:JLPT_Tango_N1_0015.mp3],子どもが寝ている姿が、愛しくてたまらない。,,The sight of a sleeping child is so adorable.,,,,,,,,X,15,N1単語3000_1-1,Main
29,JLPT_Tango_N1_0016,懐く,,be attached,[sound:JLPT_Tango_N1_0016.mp3],末っ子は父親になかなか懐かない。,,The youngest child is having diffculty becoming attached to the father.,,,,,,,,X,16,N1単語3000_1-1,Main
30,JLPT_Tango_N1_0017,ねだる,,scrounge,[sound:JLPT_Tango_N1_0017.mp3],妹は父に、よくおもちゃをねだっている。,,My younger sister often scrounges off my father for toys.,,,,,,,,X,17,N1単語3000_1-1,Main
31,JLPT_Tango_N1_0017-011,せがむ,,pester,[sound:JLPT_Tango_N1_0017-011.mp3],,,,,,,,,,,,17.1,N1単語3000_1-1,Additional
32,JLPT_Tango_N1_0017-012,おねだり（する）,,scrounge,[sound:JLPT_Tango_N1_0017-012.mp3],,,,,,,,,,,,17.2,N1単語3000_1-1,Additional
33,JLPT_Tango_N1_0018,すねる,,sulk,[sound:JLPT_Tango_N1_0018.mp3],妹は自分の我がままが通らないと、すぐすねる。,,My younger sister sulks every time she is not indulged.,,,,,,,,X,18,N1単語3000_1-1,Main
34,JLPT_Tango_N1_0019,指図（する）,,order,[sound:JLPT_Tango_N1_0019.mp3],幼い頃から私は兄に指図されるのが嫌だった。,,"Even as a child, I disliked having my brother order me around.",,,,,,,,X,19,N1単語3000_1-1,Main
35,JLPT_Tango_N1_0019-011,指示,,direction,[sound:JLPT_Tango_N1_0019-011.mp3],,,,,,,,,,,,19.1,N1単語3000_1-1,Additional
36,JLPT_Tango_N1_0019-012,命令（する）,,order,[sound:JLPT_Tango_N1_0019-012.mp3],,,,,,,,,,,,19.2,N1単語3000_1-1,Additional
37,JLPT_Tango_N1_0020,横取り（する）,,snatching,[sound:JLPT_Tango_N1_0020.mp3],子どもの頃、あににいつもおもちゃを横取りされた。,,"When I was a child, my big brother was always snatching my toys away.",,,,,,,,X,20,N1単語3000_1-1,Main
38,JLPT_Tango_N1_0021,反発（する）,,"rebound,repel",[sound:JLPT_Tango_N1_0021.mp3],いつも兄に反発して、けんかになってしまう。,,"I always rebel against my brother, and we end up in a fight.",,,,,,,,X,21,N1単語3000_1-1,Main
39,JLPT_Tango_N1_0021-011,反抗（する）,,rebel,[sound:JLPT_Tango_N1_0021-011.mp3],,,,,,,,,,,,21.1,N1単語3000_1-1,Additional
40,JLPT_Tango_N1_0022,家出（する）,,running away from home,[sound:JLPT_Tango_N1_0022.mp3],両親がうるさくて、何回か家出したことがある。,,My parents were so strict that I ran away from home several times.,,,,,,,,X,22,N1単語3000_1-1,Main
41,JLPT_Tango_N1_0022-011,プチ家出（する）,,temporary runaway,[sound:JLPT_Tango_N1_0022-011.mp3],,,,,,,,,,,,22.1,N1単語3000_1-1,Additional
42,JLPT_Tango_N1_0023,ぎくしゃく（する）,,be strained,[sound:JLPT_Tango_N1_0023.mp3],ささいなことが理由で、兄弟の関係がぎくしゃくした。,,The relationship between the brothers became strained for a petty reason.,,,,,,,,X,23,N1単語3000_1-1,Main
43,JLPT_Tango_N1_0024,言い返す,,talk back,[sound:JLPT_Tango_N1_0024.mp3],父親の忠告に言い返して𠮟られた。,,I was scolded for talking back to my father after he warned me.,,,,,,,,X,24,N1単語3000_1-1,Main
44,JLPT_Tango_N1_0025,言い張る,,insist,[sound:JLPT_Tango_N1_0025.mp3],姉はいつも自分が正しいと言い張る。,,My big sister always insists that she is correct.,,,,,,,,X,25,N1単語3000_1-1,Main
45,JLPT_Tango_N1_0026,門限,,curfew,[sound:JLPT_Tango_N1_0026.mp3],大学生になっても門限は１０じだ。,,"Even after becoming a college a student, my curfew is 10 p.m. ",,,,,,,,X,26,N1単語3000_1-1,Main
46,JLPT_Tango_N1_0027,さんざん（な）,,"severe, harsh, severly, harshly",[sound:JLPT_Tango_N1_0027.mp3],門限を破って、父にさんざん説教された。,,I broke my curfew and my father lectured me harshly.,,,,,,,,X,27,N1単語3000_1-1,Main
47,JLPT_Tango_N1_0028,省みる,,reflect,[sound:JLPT_Tango_N1_0028.mp3],父に叱られて、自分の行動を省みる。,,"After I was scolded by my father, I reflected on my actions.",,,,,,,,X,28,N1単語3000_1-1,Main
48,JLPT_Tango_N1_0028-011,反省（する）,,reflection,[sound:JLPT_Tango_N1_0028-011.mp3],,,,,,,,,,,,28.1,N1単語3000_1-1,Additional
49,JLPT_Tango_N1_0029,さも,,as if,[sound:JLPT_Tango_N1_0029.mp3],姉は知らないことも、さも知っているかのように話す。,,My older sister always talks about things she knows nothing about as if she did.,,,,,,,,X,29,N1単語3000_1-1,Main
50,JLPT_Tango_N1_0029-011,いかにも,,indeed,[sound:JLPT_Tango_N1_0029-011.mp3],,,,,,,,,,,,29.1,N1単語3000_1-1,Additional
51,JLPT_Tango_N1_0030,やまやまな,,have a strong desire,[sound:JLPT_Tango_N1_0030.mp3],仕事を続けたいのはやまやまだが、育児中は難しい。,,"I really want to continue working, but it is difficult to do so while raising a child.",,,,,,,,X,30,N1単語3000_1-1,Main
52,JLPT_Tango_N1_0031,再婚（する）,,remarry,[sound:JLPT_Tango_N1_0031.mp3],いい縁があって再婚することになった。,,I happened to meet someone and decided to remarry.,,,,,,,,X,31,N1単語3000_1-1,Main
53,JLPT_Tango_N1_0031-011,バツイチ,,once divorced ,[sound:JLPT_Tango_N1_0031-011.mp3],,,,,,,,,,,,31.1,N1単語3000_1-1,Additional
54,JLPT_Tango_N1_0032,健在な,,in good health,[sound:JLPT_Tango_N1_0032.mp3],父と母の、どちらの両親も健在だ。,,My grandparents on both sides of my family are still alive.,,,,,,,,X,32,N1単語3000_1-1,Main
55,JLPT_Tango_N1_0033,いたわる,,care,[sound:JLPT_Tango_N1_0033.mp3],息子は祖父母をいたわる、とてもやさしい子だ。,,My son is a kind boy that cared a lot about his grandparents.,,,,,,,,X,33,N1単語3000_1-1,Main
56,JLPT_Tango_N1_0034,他界（する）,,pass away,[sound:JLPT_Tango_N1_0034.mp3],先月、祖父が１００歳で他界した。,,My grandfather passed away last month at the age of 100.,,,,,,,,X,34,N1単語3000_1-1,Main
57,JLPT_Tango_N1_0035,受け継ぐ,,take over,[sound:JLPT_Tango_N1_0035.mp3],数年後には父の事業を受け継ぐつもりだ。,,I plan to take over my father’s business in the next few years.,,,,,,,,X,35,N1単語3000_1-1,Main
58,JLPT_Tango_N1_0035-011,継ぐ,,succeed,[sound:JLPT_Tango_N1_0035-011.mp3],,,,,,,,,,,,35.1,N1単語3000_1-1,Additional
59,JLPT_Tango_N1_0035-012,継承（する）,,inheritance,[sound:JLPT_Tango_N1_0035-012.mp3],,,,,,,,,,,,35.2,N1単語3000_1-1,Additional
60,JLPT_Tango_N1_0036-001,遺産,,inheritance/heritage,[sound:JLPT_Tango_N1_0036-001.mp3],1. 父の遺産について家族会議を開いた。,,① We held a family meeting to discuss our father’s inheritance.,,,,,,,,X,36,N1単語3000_1-1,Main
61,JLPT_Tango_N1_0036-002,遺産,,inheritance/heritage,[sound:JLPT_Tango_N1_0036-002.mp3],2.  いつか海外の世界遺産を巡りたい。,,② I want to travel around the world to visit World Heritage sites.,,,,,,,,X,36,N1単語3000_1-1,Main
62,JLPT_Tango_N1_0036-011,遺産相続  (する),,inheritance,[sound:JLPT_Tango_N1_0036-011.mp3],,,,,,,,,,,,36.1,N1単語3000_1-1,Additional
63,JLPT_Tango_N1_0036-012,形見 ,,heirloom,[sound:JLPT_Tango_N1_0036-012.mp3],,,,,,,,,,,,36.2,N1単語3000_1-1,Additional
64,JLPT_Tango_N1_0036-013,世界遺産 ,,World Heritage,[sound:JLPT_Tango_N1_0036-013.mp3],,,,,,,,,,,,36.3,N1単語3000_1-1,Additional
65,JLPT_Tango_N1_0037,かけがえのない,,invaluable,[sound:JLPT_Tango_N1_0037.mp3],彼は私にとってかけがえのない存在だ。,,He is an invaluable person to me ,,,,,,,,X,37,N1単語3000_1-2,Main
66,JLPT_Tango_N1_0038,気が置けない,,easy to get along with,[sound:JLPT_Tango_N1_0038.mp3],気が置けない仲間と過ごす時間が一番だ。,,Spending time with close friends is the best ,,,,,,,,X,38,N1単語3000_1-2,Main
67,JLPT_Tango_N1_0038-011,気安い,,"familiar, relaced",[sound:JLPT_Tango_N1_0038-011.mp3],,,,,,,,,,,,38.1,N1単語3000_1-2,Additional
68,JLPT_Tango_N1_0039,気心,,disposition,[sound:JLPT_Tango_N1_0039.mp3],彼女とは気心が知れた仲だ。,,She is a friend who knows my disposition well ,,,,,,,,X,39,N1単語3000_1-2,Main
69,JLPT_Tango_N1_0040,打ち明ける,,confess,[sound:JLPT_Tango_N1_0040.mp3],親友にだけ悩みを打ち明けた。,,I shared my problems only with my best friend,,,,,,,,X,40,N1単語3000_1-2,Main
70,JLPT_Tango_N1_0040-011,打ち明け話,,confession,[sound:JLPT_Tango_N1_0040-011.mp3],,,,,,,,,,,,40.1,N1単語3000_1-2,Additional
71,JLPT_Tango_N1_0041,察する,,sense,[sound:JLPT_Tango_N1_0041.mp3],友人は私の気持ちを察して、何も聞かなかった。,,My friend sensed how I felt and didn’t ask about anything ,,,,,,,,X,41,N1単語3000_1-2,Main
72,JLPT_Tango_N1_0042,同い年,,same age,[sound:JLPT_Tango_N1_0042.mp3],彼は私と同い年とは思えないくらい若い。,,He looks so young that you would’nt think that we are the same age,,,,,,,,X,42,N1単語3000_1-2,Main
73,JLPT_Tango_N1_0043,連中,,group,[sound:JLPT_Tango_N1_0043.mp3],もうあんな連中と付き合うのはやめよう。,,Let’s stop hanging out with people like that ,,,,,,,,X,43,N1単語3000_1-2,Main
74,JLPT_Tango_N1_0044,呼び捨て,,calling someone without honorifics,[sound:JLPT_Tango_N1_0044.mp3],あんな人に呼び捨てにされたくない。,,I don’t want someone like him referring to me so rudely ,,,,,,,,X,44,N1単語3000_1-2,Main
75,JLPT_Tango_N1_0045,身の上,,circumstances,[sound:JLPT_Tango_N1_0045.mp3],お酒を飲みながら、お互いの身の上を話した。,,We shared our life stories over drinks ,,,,,,,,X,45,N1単語3000_1-2,Main
76,JLPT_Tango_N1_0045-011,身の上話,,personal history,[sound:JLPT_Tango_N1_0045-011.mp3],,,,,,,,,,,,45.1,N1単語3000_1-2,Additional
77,JLPT_Tango_N1_0045-012,身の上相談,,seek personal advice,[sound:JLPT_Tango_N1_0045-012.mp3],,,,,,,,,,,,45.2,N1単語3000_1-2,Additional
78,JLPT_Tango_N1_0046,徹する,,devote oneself to,[sound:JLPT_Tango_N1_0046.mp3],友達との飲み会では、私は聞き役に徹する。,,I’m always the listener when I go drinking with my friends,,,,,,,,X,46,N1単語3000_1-2,Main
79,JLPT_Tango_N1_0047,踏みにじる,,violate,[sound:JLPT_Tango_N1_0047.mp3],大切な友人の思いを踏みにじってしまった。,,I violated the feelings of my dear friend ,,,,,,,,X,47,N1単語3000_1-2,Main
80,JLPT_Tango_N1_0047-011,ないがしろにする,,neglect,[sound:JLPT_Tango_N1_0047-011.mp3],,,,,,,,,,,,47.1,N1単語3000_1-2,Additional
81,JLPT_Tango_N1_0048,気に障る,,annoying,[sound:JLPT_Tango_N1_0048.mp3],あいつは時々、人の気に障ることを言う。,,He sometimes says things that annoy people,,,,,,,,X,48,N1単語3000_1-2,Main
82,JLPT_Tango_N1_0048-011,気分を害する,,be disappointed,[sound:JLPT_Tango_N1_0048-011.mp3],,,,,,,,,,,,48.1,N1単語3000_1-2,Additional
83,JLPT_Tango_N1_0049,きまり（が）悪い,,feel embarrassed,[sound:JLPT_Tango_N1_0049.mp3],小さなことで腹を立てて、きまり悪い。,,I feel embarrasseed for getting mad at nothing ,,,,,,,,X,49,N1単語3000_1-2,Main
84,JLPT_Tango_N1_0050,たかが,,only,[sound:JLPT_Tango_N1_0050.mp3],友達からお金を借りたら、たかが１００円でも返すべきだ。,," If you borrow money from your friend, you should return it, even if it;s only 100 yen",,,,,,,,X,50,N1単語3000_1-2,Main
85,JLPT_Tango_N1_0051,かばう,,protect,[sound:JLPT_Tango_N1_0051.mp3],親友はどんな時でも私をかばってくれる。,,A true friend will protect you any time ,,,,,,,,X,51,N1単語3000_1-2,Main
86,JLPT_Tango_N1_0052,あえて,,purposely,[sound:JLPT_Tango_N1_0052.mp3],友達だからこそ、あえて厳しい忠告もする。,,I’m being hard on you purposely because I’m your friend,,,,,,,,X,52,N1単語3000_1-2,Main
87,JLPT_Tango_N1_0053,頻繫な,,frequent,[sound:JLPT_Tango_N1_0053.mp3],大学時代の友人たちと頻繫に集まっている。,,I often get together with my friends from my college days ,,,,,,,,X,53,N1単語3000_1-2,Main
88,JLPT_Tango_N1_0054,タイミング,,timing,[sound:JLPT_Tango_N1_0054.mp3],友達を食事に誘ったが、 タイミングが悪く断られた。,,"I invited a friend for a meal, but the timing was bad, so she declined",,,,,,,,X,54,N1単語3000_1-2,Main
89,JLPT_Tango_N1_0055,じゃんけん（する）,,rock-paper-scissors,[sound:JLPT_Tango_N1_0055.mp3],今度の飲み会の幹事を、じゃんけんできめよう。,,"let’s pick the organizer of the next drinking party by rock, paper scissors",,,,,,,,X,55,N1単語3000_1-2,Main
90,JLPT_Tango_N1_0056,「お」あいこ,,tie,[sound:JLPT_Tango_N1_0056.mp3],何回じゃんけんしてもあいこで、勝負がつかない。,,"We keep ending in a tie no matter how many times we play rock, paper, scissors. ",,,,,,,,X,56,N1単語3000_1-2,Main
91,JLPT_Tango_N1_0056-011,引き分け,,tie,[sound:JLPT_Tango_N1_0056-011.mp3],,,,,,,,,,,,56.1,N1単語3000_1-2,Additional
92,JLPT_Tango_N1_0057-001,つながる,,connect,[sound:JLPT_Tango_N1_0057-001.mp3],1. SNSで、音信不通だった友人とつながるようになった。,,① I reconnected with a friend I lost contact through social network,,,,,,,,X,57,N1単語3000_1-2,Main
93,JLPT_Tango_N1_0057-002,つながる,,connect,[sound:JLPT_Tango_N1_0057-002.mp3],2. 友達に電話しているが、なかなかつながらない。,,② I keep calling my friend but he doesn’t pick up ,,,,,,,,X,57,N1単語3000_1-2,Main
94,JLPT_Tango_N1_0057-011,つながり,,connection,[sound:JLPT_Tango_N1_0057-011.mp3],,,,,,,,,,,,57.1,N1単語3000_1-2,Additional
95,JLPT_Tango_N1_0058,やたら「な・と」,,profuse/profusely,[sound:JLPT_Tango_N1_0058.mp3],彼はお酒を飲むと、やたらとうるさい。,,He starts to whine profusely when he drinks alcohol ,,,,,,,,X,58,N1単語3000_1-2,Main
96,JLPT_Tango_N1_0059,さぞ,,must be,[sound:JLPT_Tango_N1_0059.mp3],彼女の服は全部ブランド品だ。さぞお金持ちなのだろう。,,All of her clothes are brand-name. She must be rich ,,,,,,,,X,59,N1単語3000_1-2,Main
97,JLPT_Tango_N1_0060,そもそも,,to start with,[sound:JLPT_Tango_N1_0060.mp3],また友達とけんかした。そもそも彼の一言が厡困だ。,,I fought with my friend again. But it was something he said that triggered the fight in the first place. ,,,,,,,,X,60,N1単語3000_1-2,Main
98,JLPT_Tango_N1_0061,よもや「ない」,,never imagine,[sound:JLPT_Tango_N1_0061.mp3],彼女が恋人になるとはよもや思わなかった。,,I never imagined that she would become my girlfriend ,,,,,,,,X,61,N1単語3000_1-2,Main
99,JLPT_Tango_N1_0061-101,副作用,,side effect,[sound:JLPT_Tango_N1_0061-101.mp3],,,,,,,,,,,,61-1,N1単語3000_1-2,Supplement
100,JLPT_Tango_N1_0061-102,副題,,subtitle,[sound:JLPT_Tango_N1_0061-102.mp3],,,,,,,,,,,,61-2,N1単語3000_1-2,Supplement
101,JLPT_Tango_N1_0061-103,副賞,,extra prize,[sound:JLPT_Tango_N1_0061-103.mp3],,,,,,,,,,,,61-3,N1単語3000_1-2,Supplement
102,JLPT_Tango_N1_0061-104,副産物,,by-product,[sound:JLPT_Tango_N1_0061-104.mp3],,,,,,,,,,,,61-4,N1単語3000_1-2,Supplement
103,JLPT_Tango_N1_0061-105,副収入,,secondary income,[sound:JLPT_Tango_N1_0061-105.mp3],,,,,,,,,,,,61-5,N1単語3000_1-2,Supplement
104,JLPT_Tango_N1_0061-106,副食,,side dish,[sound:JLPT_Tango_N1_0061-106.mp3],,,,,,,,,,,,61-6,N1単語3000_1-2,Supplement
105,JLPT_Tango_N1_0061-107,副大臣,,vice minister,[sound:JLPT_Tango_N1_0061-107.mp3],,,,,,,,,,,,61-7,N1単語3000_1-2,Supplement
106,JLPT_Tango_N1_0061-108,副社長,,vice president,[sound:JLPT_Tango_N1_0061-108.mp3],,,,,,,,,,,,61-8,N1単語3000_1-2,Supplement
107,JLPT_Tango_N1_0061-109,副読本 ,,supplementary reader,[sound:JLPT_Tango_N1_0061-109.mp3],,,,,,,,,,,,61-9,N1単語3000_1-2,Supplement
108,JLPT_Tango_N1_0061-110,副都心,,sub-center of city,[sound:JLPT_Tango_N1_0061-110.mp3],,,,,,,,,,,,61-10,N1単語3000_1-3,Supplement
109,JLPT_Tango_N1_0062-001,縁,,fate/ties,[sound:JLPT_Tango_N1_0062-001.mp3],1. 彼女とはバイトが縁で知り合った。,,① I met her at a part-time job,,,,,,,,X,62,N1単語3000_1-3,Main
110,JLPT_Tango_N1_0062-002,縁,,fate/ties,[sound:JLPT_Tango_N1_0062-002.mp3],2. あんな人とは今すぐにでも縁を切りたい。,,② I would want to cut ties with someone like that immediately,,,,,,,,X,62,N1単語3000_1-3,Main
111,JLPT_Tango_N1_0062-011,縁結び,,matchmaking,[sound:JLPT_Tango_N1_0062-011.mp3],,,,,,,,,,,,62.1,N1単語3000_1-3,Additional
112,JLPT_Tango_N1_0063,一見（する）,,appearance/at first glance,[sound:JLPT_Tango_N1_0063.mp3],あの人は一見怖そうだが、面白い人だ。,,"At first glance, he may appear frightening, but he is actually a funny person ",,,,,,,,X,63,N1単語3000_1-3,Main
113,JLPT_Tango_N1_0063-011,ちょっと見,,quick peek,[sound:JLPT_Tango_N1_0063-011.mp3],,,,,,,,,,,,63.1,N1単語3000_1-3,Additional
114,JLPT_Tango_N1_0064,恐縮（する）,,feeling obliged,[sound:JLPT_Tango_N1_0064.mp3],わざわざお電話をいただき、恐縮です。,,Thank you so much for taking the time to call me ,,,,,,,,X,64,N1単語3000_1-3,Main
115,JLPT_Tango_N1_0065,思いやり,,compassion,[sound:JLPT_Tango_N1_0065.mp3],彼女は誰に対しても思いやりを持って接する。,,She is compassionate to everyone she associates with ,,,,,,,,X,65,N1単語3000_1-3,Main
116,JLPT_Tango_N1_0066,気配り（する）,,sensitivity,[sound:JLPT_Tango_N1_0066.mp3],みんなが彼のことを気配りができる人だと言う。,,Everyone says that he is sensitive to people ,,,,,,,,X,66,N1単語3000_1-3,Main
117,JLPT_Tango_N1_0066-011,配慮,,consideration,[sound:JLPT_Tango_N1_0066-011.mp3],,,,,,,,,,,,66.1,N1単語3000_1-3,Additional
118,JLPT_Tango_N1_0066-012,心配り,,watchfulness,[sound:JLPT_Tango_N1_0066-012.mp3],,,,,,,,,,,,66.2,N1単語3000_1-3,Additional
119,JLPT_Tango_N1_0067,打ち解ける,,warm to,[sound:JLPT_Tango_N1_0067.mp3],彼とは初めて会ったが、すぐに打ち解けるとかができた。,,"It was the first time to meet him, but we were able to warm to each other quickly ",,,,,,,,X,67,N1単語3000_1-3,Main
120,JLPT_Tango_N1_0068,好意,,favor,[sound:JLPT_Tango_N1_0068.mp3],初めて会ったときから、かれに好意を抱いている。,,I favored him from the first time I met him ,,,,,,,,X,68,N1単語3000_1-3,Main
121,JLPT_Tango_N1_0068-011,悪意,,ill will; spite; evil intention; malice,[sound:JLPT_Tango_N1_0068-011.mp3],,,,,,,,,,,,68.1,N1単語3000_1-3,Additional
122,JLPT_Tango_N1_0069,色気,,sex appeal,[sound:JLPT_Tango_N1_0069.mp3],あのひとは色気があって、同性から見ても魅力的だ。,,"She is sexy and very attractive, even from a woman’s point of view ",,,,,,,,X,69,N1単語3000_1-3,Main
123,JLPT_Tango_N1_0070,見栄,,appearance,[sound:JLPT_Tango_N1_0070.mp3],好きな人の前では見栄を張りたがるものだ。,,People like to put on appearances in front of people they like ,,,,,,,,X,70,N1単語3000_1-3,Main
124,JLPT_Tango_N1_0071,見栄っ張り,,vain,[sound:JLPT_Tango_N1_0071.mp3],彼があれほど見栄っ張りだとは思わなかった。,,I never thought he was such a vain person ,,,,,,,,X,71,N1単語3000_1-3,Main
125,JLPT_Tango_N1_0072,人違い,,wrong person,[sound:JLPT_Tango_N1_0072.mp3],知り合いだと思って声をかけたら、人違いだった。,,"I called out to him thinking he was an acquaintance, but he wasn’t who I thought he was",,,,,,,,X,72,N1単語3000_1-3,Main
126,JLPT_Tango_N1_0073,勘違い（する）,,misunderstanding,[sound:JLPT_Tango_N1_0073.mp3],彼は彼女の優しさを好意と勘違いしているらしい。,,He is mistaking her kindness for affection ,,,,,,,,X,73,N1単語3000_1-3,Main
127,JLPT_Tango_N1_0074,根も葉もない,,groundless,[sound:JLPT_Tango_N1_0074.mp3],彼らが付き合っているなんて、根も葉もないうわさだ。,,It’s a groundless rumor that the two are dating ,,,,,,,,X,74,N1単語3000_1-3,Main
128,JLPT_Tango_N1_0075,初耳,,hear for the first time,[sound:JLPT_Tango_N1_0075.mp3],あの二人が姉妹とは初耳だ。,,This is the first time I’ve heard the two were sisters ,,,,,,,,X,75,N1単語3000_1-3,Main
129,JLPT_Tango_N1_0076,惑わす,,blinded,[sound:JLPT_Tango_N1_0076.mp3],周囲の人たちが、彼女の魅力に惑わされている。,,People around her are blinded by her attractiveness,,,,,,,,X,76,N1単語3000_1-3,Main
