Sort Index,Vocab-Japan,Vocab-Furigana,Vocab-English,audio file,Sent-Japan,Sent-Furigana,Sent-English,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent,Digital Sort,4 Digit Sort,Vocab-Audio,Sent/Vocab-English
JLPT_Tango_N5_0011,いいえ,いいえ,No,[sound:JLPT_Tango_N5_0011.mp3],A 「やまださんですか。」 -- C 「<b>いいえ</b>。」,A「やまださんですか。」 -- C「<b>いいえ</b>。」,"A. Are you Yamada-san? -- B. No, I'm not.",,,,,Ch 01 - 自己紹介,Sect 01 - ～です,X,11,0011,JLPT_Tango_N5_0011.mp3,"<div><b>No</b></div>A. Are you Yamada-san?<div>C. No, I'm not.</div>"
JLPT_Tango_N5_0012,そうです,そうです,"Yes, that's right",[sound:JLPT_Tango_N5_0012.mp3],A 「やまださんですか。」 -- B 「はい、<b>そうです</b>。」,A「やまださんですか。」 -- B「はい、<b>そうです</b>。」,"A. Are you Yamada-san? -- B. Yes, I am.",,,,,Ch 01 - 自己紹介,Sect 01 - ～です,X,12,0012,JLPT_Tango_N5_0012.mp3,"<div><b>Yes, that's right</b></div>A. Are you Yamada-san?<div>B. Yes, I am.</div>"
JLPT_Tango_N5_0013,ちがいます,ちがいます,"No, that's not correct",[sound:JLPT_Tango_N5_0013.mp3],A 「やまださんですか。」 -- B 「いいえ、<b>ちがいます</b>。 たなかです。」,A「やまださんですか。」 -- B「いいえ、<b>ちがいます</b>。たなかです。」,A. Are you Yamada-san? -- B. No I'm not. I'm Tanaka.,,,,,Ch 01 - 自己紹介,Sect 01 - ～です,X,13,0013,JLPT_Tango_N5_0013.mp3,"<div><b>No, that's not correct</b></div>A. Are you Yamada-san?<div>B. No I'm not. I'm Tanaka.</div>"
JLPT_Tango_N5_0014,おはよう,おはよう,Good Morning (Informal),[sound:JLPT_Tango_N5_0014.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,14,0014,JLPT_Tango_N5_0014.mp3,<b>Good Morning (Informal)</b>
JLPT_Tango_N5_0015,おはようございます,おはようございます,Good Morning (Formal),[sound:JLPT_Tango_N5_0015.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,15,0015,JLPT_Tango_N5_0015.mp3,<b>Good Morning (Formal)</b>
JLPT_Tango_N5_0016,こんにちは。,こんにちは,Hello / Good Afternoon,[sound:JLPT_Tango_N5_0016.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,16,0016,JLPT_Tango_N5_0016.mp3,<b>Hello / Good Afternoon</b>
JLPT_Tango_N5_0017,こんばんは。,こんばんは,Good Evening,[sound:JLPT_Tango_N5_0017.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,17,0017,JLPT_Tango_N5_0017.mp3,<b>Good Evening</b>
JLPT_Tango_N5_0018,さようなら,さようなら,Goodbye,[sound:JLPT_Tango_N5_0018.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,18,0018,JLPT_Tango_N5_0018.mp3,<b>Goodbye</b>
JLPT_Tango_N5_0019,じゃ、また。,じゃ、また,See you again,[sound:JLPT_Tango_N5_0019.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,19,0019,JLPT_Tango_N5_0019.mp3,<b>See you again</b>
JLPT_Tango_N5_0020,おやすみなさい,おやすみなさい,Goodnight,[sound:JLPT_Tango_N5_0020.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,20,0020,JLPT_Tango_N5_0020.mp3,<b>Goodnight</b>
JLPT_Tango_N5_0021,ありがとう,ありがとう,Thank You (Informal),[sound:JLPT_Tango_N5_0021.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,21,0021,JLPT_Tango_N5_0021.mp3,<b>Thank You (Informal)</b>
JLPT_Tango_N5_0022,どういたしまして,どういたしまして,You're Welcome,[sound:JLPT_Tango_N5_0022.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,22,0022,JLPT_Tango_N5_0022.mp3,<b>You're Welcome</b>
JLPT_Tango_N5_0023,ありがとうございます,ありがとうございます,Thank You (Formal),[sound:JLPT_Tango_N5_0023.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,23,0023,JLPT_Tango_N5_0023.mp3,<b>Thank You (Formal)</b>
JLPT_Tango_N5_0024,どうぞ。,どうぞ,Go Ahead,[sound:JLPT_Tango_N5_0024.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,24,0024,JLPT_Tango_N5_0024.mp3,<b>Go Ahead</b>
JLPT_Tango_N5_0025,どうも。,どうも,Thank You,[sound:JLPT_Tango_N5_0025.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,25,0025,JLPT_Tango_N5_0025.mp3,<b>Thank You</b>
JLPT_Tango_N5_0026,はじめまして。,はじめまして,"Hello, nice to meet you.",[sound:JLPT_Tango_N5_0026.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,26,0026,JLPT_Tango_N5_0026.mp3,"<b>Hello, nice to meet you.</b>"
JLPT_Tango_N5_0027,どうぞよろしく。,どうぞよろしく,Glad to meet you.,[sound:JLPT_Tango_N5_0027.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,27,0027,JLPT_Tango_N5_0027.mp3,<b>Glad to meet you.</b>
JLPT_Tango_N5_0028,こちらこそ,こちらこそ,"Me too, same here",[sound:JLPT_Tango_N5_0028.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 02 - お早う,,28,0028,JLPT_Tango_N5_0028.mp3,"<b>Me too, same here</b>"
JLPT_Tango_N5_0029,かぞく,かぞく,Family,[sound:JLPT_Tango_N5_0029.mp3],<b>かぞく</b>は7にんです。,<b>かぞく</b>は7にんです。,There are seven people in my family.,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,X,29,0029,JLPT_Tango_N5_0029.mp3,<div><b>Family</b></div>There are seven people in my family.
JLPT_Tango_N5_0030,りょうしん,りょうしん,Parents,[sound:JLPT_Tango_N5_0030.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,30,0030,JLPT_Tango_N5_0030.mp3,<b>Parents</b>
JLPT_Tango_N5_0031,父,父[ちち],Father,[sound:JLPT_Tango_N5_0031.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,31,0031,JLPT_Tango_N5_0031.mp3,<b>Father</b>
JLPT_Tango_N5_0032,母,母[はは],Mother,[sound:JLPT_Tango_N5_0032.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,32,0032,JLPT_Tango_N5_0032.mp3,<b>Mother</b>
JLPT_Tango_N5_0033,あね,あね,Older Sister,[sound:JLPT_Tango_N5_0033.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,33,0033,JLPT_Tango_N5_0033.mp3,<b>Older Sister</b>
JLPT_Tango_N5_0034,あに,あに,Older Brother,[sound:JLPT_Tango_N5_0034.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,34,0034,JLPT_Tango_N5_0034.mp3,<b>Older Brother</b>
JLPT_Tango_N5_0035,おとうと,おとうと,Younger Brother,[sound:JLPT_Tango_N5_0035.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,35,0035,JLPT_Tango_N5_0035.mp3,<b>Younger Brother</b>
JLPT_Tango_N5_0036,いもうと,いもうと,Younger Sister,[sound:JLPT_Tango_N5_0036.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,36,0036,JLPT_Tango_N5_0036.mp3,<b>Younger Sister</b>
JLPT_Tango_N5_0037,きょうだい,きょうだい,Siblings,[sound:JLPT_Tango_N5_0037.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,37,0037,JLPT_Tango_N5_0037.mp3,<b>Siblings</b>
JLPT_Tango_N5_0038,いぬ,いぬ,Dog,[sound:JLPT_Tango_N5_0038.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,38,0038,JLPT_Tango_N5_0038.mp3,<b>Dog</b>
JLPT_Tango_N5_0039,ねこ,ねこ,Cat,[sound:JLPT_Tango_N5_0039.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,39,0039,JLPT_Tango_N5_0039.mp3,<b>Cat</b>
JLPT_Tango_N5_0040-01,いる,いる,"have, be",[sound:JLPT_Tango_N5_0040-01.mp3],① いぬが<b>い</b>ます。,① いぬが<b>い</b>ます。,"① Exists (for living, animate objects) ① I have a dog.",,,,,Ch 01 - 自己紹介,Sect 03 - 家族,X,40.1,0040-01,JLPT_Tango_N5_0040-01.mp3,"<b>いる - have, be</b><div>① Exists (for living, animate objects) ① I have a dog.</div>"
JLPT_Tango_N5_0040-02,いる,いる,"have, be",[sound:JLPT_Tango_N5_0040-02.mp3],② あにが<b>い</b>ます。,② あにが<b>い</b>ます。,② Someone related to that person exists - ② I have an older brother.,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,X,40.2,0040-02,JLPT_Tango_N5_0040-02.mp3,"<b>いる - have, be</b><div>② Someone related to that person exists - ② I have an older sister.</div>"
JLPT_Tango_N5_0041,うち,うち,One's Household (when used as an pronoun) / House,[sound:JLPT_Tango_N5_0041.mp3],<b>うち</b>にねこがいます。,<b>うち</b>にねこがいます。,I own a cat.,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,X,41,0041,JLPT_Tango_N5_0041.mp3,<div><b>One's Household (when used as an pronoun) / House</b></div>I own a cat.
JLPT_Tango_N5_0042,おじいさん,おじいさん,Grandfather,[sound:JLPT_Tango_N5_0042.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,42,0042,JLPT_Tango_N5_0042.mp3,<b>Grandfather</b>
JLPT_Tango_N5_0043,おばあさん,おばあさん,Grandmother,[sound:JLPT_Tango_N5_0043.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,43,0043,JLPT_Tango_N5_0043.mp3,<b>Grandmother</b>
JLPT_Tango_N5_0044,ごりょうしん,ごりょうしん,Parents (Formal),[sound:JLPT_Tango_N5_0044.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,44,0044,JLPT_Tango_N5_0044.mp3,<b>Parents (Formal)</b>
JLPT_Tango_N5_0045,お父さん,お 父[とう]さん,Father,[sound:JLPT_Tango_N5_0045.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,45,0045,JLPT_Tango_N5_0045.mp3,<b>Father</b>
JLPT_Tango_N5_0046,お母さん,お 母[かあ]さん,Mother,[sound:JLPT_Tango_N5_0046.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,46,0046,JLPT_Tango_N5_0046.mp3,<b>Mother</b>
JLPT_Tango_N5_0047,おねえさん,おねえさん,Older Sister,[sound:JLPT_Tango_N5_0047.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,47,0047,JLPT_Tango_N5_0047.mp3,<b>Older Sister</b>
JLPT_Tango_N5_0048,おにいさん,おにいさん,Older Brother,[sound:JLPT_Tango_N5_0048.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,48,0048,JLPT_Tango_N5_0048.mp3,<b>Older Brother</b>
JLPT_Tango_N5_0049,おとうとさん,おとうとさん,Younger Brother,[sound:JLPT_Tango_N5_0049.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,49,0049,JLPT_Tango_N5_0049.mp3,<b>Younger Brother</b>
JLPT_Tango_N5_0050,いもうとさん,いもうとさん,Younger Sister,[sound:JLPT_Tango_N5_0050.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 03 - 家族,,50,0050,JLPT_Tango_N5_0050.mp3,<b>Younger Sister</b>
JLPT_Tango_N5_0051,一人,一人[ひとり],One Person,[sound:JLPT_Tango_N5_0051.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,51,0051,JLPT_Tango_N5_0051.mp3,<b>One Person</b>
JLPT_Tango_N5_0052,二人,二人[ふたり],Two People,[sound:JLPT_Tango_N5_0052.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,52,0052,JLPT_Tango_N5_0052.mp3,<b>Two People</b>
JLPT_Tango_N5_0053,三人,三人[さんにん],Three People,[sound:JLPT_Tango_N5_0053.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,53,0053,JLPT_Tango_N5_0053.mp3,<b>Three People</b>
JLPT_Tango_N5_0054,四人,四人[よにん],Four People,[sound:JLPT_Tango_N5_0054.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,54,0054,JLPT_Tango_N5_0054.mp3,<b>Four People</b>
JLPT_Tango_N5_0055,五人,五人[ごにん],Five People,[sound:JLPT_Tango_N5_0055.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,55,0055,JLPT_Tango_N5_0055.mp3,<b>Five People</b>
JLPT_Tango_N5_0056,六人,六人[ろくにん],Six People,[sound:JLPT_Tango_N5_0056.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,56,0056,JLPT_Tango_N5_0056.mp3,<b>Six People</b>
JLPT_Tango_N5_0057,七人,七人[しち/ななにん],Seven People,[sound:JLPT_Tango_N5_0057.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,57,0057,JLPT_Tango_N5_0057.mp3,<b>Seven People</b>
JLPT_Tango_N5_0058,八人,八人[はちにん],Eight People,[sound:JLPT_Tango_N5_0058.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,58,0058,JLPT_Tango_N5_0058.mp3,<b>Eight People</b>
JLPT_Tango_N5_0059,九人,九人[く/きゅうにん],Nine People,[sound:JLPT_Tango_N5_0059.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,59,0059,JLPT_Tango_N5_0059.mp3,<b>Nine People</b>
JLPT_Tango_N5_0060,十人,十人[じゅうにん],Ten People,[sound:JLPT_Tango_N5_0060.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,60,0060,JLPT_Tango_N5_0060.mp3,<b>Ten People</b>
JLPT_Tango_N5_0061,なんにん,なんにん,How Many People?,[sound:JLPT_Tango_N5_0061.mp3],A 「<b>なんにん</b>ですか。」 -- B 「3にんです。」,A「<b>なんにん</b>ですか。」 -- B「 3[さん]にんです。」,A. How many people are there? -- B. We have 3 people.,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,X,61,0061,JLPT_Tango_N5_0061.mp3,<b>How Many People?</b><div>A. How many people are there?</div><div>B. We have 3 people.</div>
JLPT_Tango_N5_0062,おとな,おとな,Adult,[sound:JLPT_Tango_N5_0062.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,62,0062,JLPT_Tango_N5_0062.mp3,<b>Adult</b>
JLPT_Tango_N5_0063,こども,こども,Child,[sound:JLPT_Tango_N5_0063.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,63,0063,JLPT_Tango_N5_0063.mp3,<b>Child</b>
JLPT_Tango_N5_0064,おとこのひと,おとこのひと,Man,[sound:JLPT_Tango_N5_0064.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,64,0064,JLPT_Tango_N5_0064.mp3,<b>Man</b>
JLPT_Tango_N5_0065,おんなのひと,おんなのひと,Woman,[sound:JLPT_Tango_N5_0065.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,65,0065,JLPT_Tango_N5_0065.mp3,<b>Woman</b>
JLPT_Tango_N5_0066,おとこのこ,おとこのこ,Boy,[sound:JLPT_Tango_N5_0066.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,66,0066,JLPT_Tango_N5_0066.mp3,<b>Boy</b>
JLPT_Tango_N5_0067,おんなのこ,おんなのこ,Girl,[sound:JLPT_Tango_N5_0067.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 04 - 何人ですか。,,67,0067,JLPT_Tango_N5_0067.mp3,<b>Girl</b>
JLPT_Tango_N5_0068,くに,くに,Country,[sound:JLPT_Tango_N5_0068.mp3],（わたしの）<b>くに</b>はマレーシアです。,（わたしの）<b>くに</b>はマレーシアです。,I am from Malaysia.,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,X,68,0068,JLPT_Tango_N5_0068.mp3,<b>Country</b><div>I am from Malaysia.</div>
JLPT_Tango_N5_0069,ある,ある,Have / Exists,[sound:JLPT_Tango_N5_0069.mp3],ちゅうごくにディズニーランドが<b>あり</b>ます。,ちゅうごくにディズニーランドが<b>あり</b>ます。,There is a Disneyland in China.,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,X,69,0069,JLPT_Tango_N5_0069.mp3,<div><b>ある - Have / Exists</b></div>There is a Disneyland in China.
JLPT_Tango_N5_0070,どちら,どちら,Which,[sound:JLPT_Tango_N5_0070.mp3],A 「（お）くには<b>どちら</b>ですか。」 -- B 「ケニアです。」,A「（お）くには<b>どちら</b>ですか。」 -- B「ケニアです。」,A. Which country are you from. -- B. I'm from Kenya.,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,X,70,0070,JLPT_Tango_N5_0070.mp3,<div><b>Which</b></div>A. Which country are you from.<div>B. I'm from Kenya.</div>
JLPT_Tango_N5_0071,～からきました,～からきました,Came from,[sound:JLPT_Tango_N5_0071.mp3],（わたしは）アメリカ<b>からきました</b>。,（わたしは）アメリカ<b>からきました</b>。,I came from the United States.,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,X,71,0071,JLPT_Tango_N5_0071.mp3,<b>～からきました - Came from</b><div>I came from the United States.</div>
JLPT_Tango_N5_0072,～じん,～じん,Person from (Nationality),[sound:JLPT_Tango_N5_0072.mp3],わたしはイギリス<b>じん</b>です。,わたしはイギリス<b>じん</b>です。,I am British.,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,X,72,0072,JLPT_Tango_N5_0072.mp3,<div><b>～じん - Person from (Nationality)</b></div>I am British.
JLPT_Tango_N5_0073,ちず,ちず,Map,[sound:JLPT_Tango_N5_0073.mp3],にほんの<b>ちず</b>はありますか。,にほんの<b>ちず</b>はありますか。,Do you have a map of Japan?,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,X,73,0073,JLPT_Tango_N5_0073.mp3,<b>Map</b><div>Do you have a map of Japan?</div>
JLPT_Tango_N5_0074,せかい,せかい,World,[sound:JLPT_Tango_N5_0074.mp3],<b>せかい</b>のちずはありますか。,<b>せかい</b>のちずはありますか。,Do you have a map of the world?,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,X,74,0074,JLPT_Tango_N5_0074.mp3,<div><b>World</b></div>Do you have a map of the world?
JLPT_Tango_N5_0075,にほん,にほん,Japan,[sound:JLPT_Tango_N5_0075.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,75,0075,JLPT_Tango_N5_0075.mp3,<b>Japan</b>
JLPT_Tango_N5_0076,インド,インド,India,[sound:JLPT_Tango_N5_0076.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,76,0076,JLPT_Tango_N5_0076.mp3,<b>India</b>
JLPT_Tango_N5_0077,インドネシア,インドネシア,Indonesia,[sound:JLPT_Tango_N5_0077.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,77,0077,JLPT_Tango_N5_0077.mp3,<b>Indonesia</b>
JLPT_Tango_N5_0078,かんこく,かんこく,South Korea,[sound:JLPT_Tango_N5_0078.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,78,0078,JLPT_Tango_N5_0078.mp3,<b>South Korea</b>
JLPT_Tango_N5_0079,タイ,タイ,Thailand,[sound:JLPT_Tango_N5_0079.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,79,0079,JLPT_Tango_N5_0079.mp3,<b>Thailand</b>
JLPT_Tango_N5_0080,たいわん,たいわん,Taiwan,[sound:JLPT_Tango_N5_0080.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,80,0080,JLPT_Tango_N5_0080.mp3,<b>Taiwan</b>
JLPT_Tango_N5_0081,ちゅうごく,ちゅうごく,China,[sound:JLPT_Tango_N5_0081.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,81,0081,JLPT_Tango_N5_0081.mp3,<b>China</b>
JLPT_Tango_N5_0082,ネパール,ネパール,Nepal,[sound:JLPT_Tango_N5_0082.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,82,0082,JLPT_Tango_N5_0082.mp3,<b>Nepal</b>
JLPT_Tango_N5_0083,フィリピン,フィリピン,Philippines,[sound:JLPT_Tango_N5_0083.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,83,0083,JLPT_Tango_N5_0083.mp3,<b>Philippines</b>
JLPT_Tango_N5_0084,ベトナム,ベトナム,Vietnam,[sound:JLPT_Tango_N5_0084.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,84,0084,JLPT_Tango_N5_0084.mp3,<b>Vietnam</b>
JLPT_Tango_N5_0085,マレーシア,マレーシア,Malaysia,[sound:JLPT_Tango_N5_0085.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,85,0085,JLPT_Tango_N5_0085.mp3,<b>Malaysia</b>
JLPT_Tango_N5_0086,ミャンマー,ミャンマー,"Myanmar, Burma",[sound:JLPT_Tango_N5_0086.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,86,0086,JLPT_Tango_N5_0086.mp3,"<b>Myanmar, Burma</b>"
JLPT_Tango_N5_0087,トルコ,トルコ,Turkey,[sound:JLPT_Tango_N5_0087.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,87,0087,JLPT_Tango_N5_0087.mp3,<b>Turkey</b>
JLPT_Tango_N5_0088,オーストラリア,オーストラリア,Australia,[sound:JLPT_Tango_N5_0088.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,88,0088,JLPT_Tango_N5_0088.mp3,<b>Australia</b>
JLPT_Tango_N5_0089,ニュージーランド,ニュージーランド,New Zealand,[sound:JLPT_Tango_N5_0089.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,89,0089,JLPT_Tango_N5_0089.mp3,<b>New Zealand</b>
JLPT_Tango_N5_0090,アメリカ,アメリカ,United States,[sound:JLPT_Tango_N5_0090.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,90,0090,JLPT_Tango_N5_0090.mp3,<b>United States</b>
JLPT_Tango_N5_0091,カナダ,カナダ,Canada,[sound:JLPT_Tango_N5_0091.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,91,0091,JLPT_Tango_N5_0091.mp3,<b>Canada</b>
JLPT_Tango_N5_0092,メキシコ,メキシコ,Mexico,[sound:JLPT_Tango_N5_0092.mp3],,,,,,,,Ch 01 - 自己紹介,Sect 05 - ~から来ました。,,92,0092,JLPT_Tango_N5_0092.mp3,<b>Mexico</b>
