Sort Index,Vocab-Japan,Vocab-Furigana,Vocab-English,audio file,Sent-Japan,Sent-Furigana,Sent-English,Alternate,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent
JLPT_Tango_N3_0028,仲間,仲間[なかま],"comrade, mate, friend, fellow member of a group",[sound:JLPT_Tango_N3_0028.mp3],彼もサッカーの仲間に入れよう。,彼[かれ]もサッカーの 仲間[なかま]に 入[い]れよう。,Let's include him in our soccer buddies.,,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0028-005,テニス仲間,テニス 仲間[なかま],tennis partner,[sound:JLPT_Tango_N3_0028-005.mp3],,,,,,,,related or similar to 仲間,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,
JLPT_Tango_N3_0028-006,遊び仲間,遊[あそ]び 仲間[なかま],playmate,[sound:JLPT_Tango_N3_0028-006.mp3],,,,,,,,related or similar to 仲間,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,
JLPT_Tango_N3_0029,仲良し,仲良[なかよ]し,"close friend, intimate friend",[sound:JLPT_Tango_N3_0029.mp3],クラスメートは、みんな仲良しだ。,クラスメートは、みんな 仲良[なかよ]しだ。,All of my classmates are close friends.,,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0030,幼なじみ,幼[おさな]なじみ,childhood friend,[sound:JLPT_Tango_N3_0030.mp3],いなかに帰ると、いつも幼なじみに会う。,いなかに 帰[かえ]ると、いつも 幼[おさな]なじみに 会[あ]う。,"Whenever I go back home to the countryside, I always meet up with my childhood friend.",幼馴染み,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0031,友情,友情[ゆうじょう],friendship,[sound:JLPT_Tango_N3_0031.mp3],彼との友情をいつまでも大切にしたい。,彼[かれ]との 友情[ゆうじょう]をいつまでも 大切[たいせつ]にしたい。,I want to value my friendship with him forever.,,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0032,親しい,親[した]しい,"intimate, close",[sound:JLPT_Tango_N3_0032.mp3],親しい友だちの結婚式に招待された。,親[した]しい 友[とも]だちの 結婚式[けっこんしき]に 招待[しょうたい]された。,I was invited to my close friend's wedding.,,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0033,知人,知人[ちじん],acquaintance,[sound:JLPT_Tango_N3_0033.mp3],知人の紹介で、彼と知り合った。,知人[ちじん]の 紹介[しょうかい]で、 彼[かれ]と 知り合[しりあ]った。,I met him through an introduction from a friend.,,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0033-005,知り合う,知り合[しりあ]う,to become acquainted with,[sound:JLPT_Tango_N3_0033-005.mp3],,,,,,,,related or similar to 知人,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,
JLPT_Tango_N3_0034,メンバー,メンバー,member,[sound:JLPT_Tango_N3_0034.mp3],A「明日のパーティーのメンバーは、だれですか。」<div>B「先生と私たちです。」</div>,A「 明日[あした]のパーティーのメンバーは、だれですか。」<div>B「 先生[せんせい]と 私[わたし]たちです。」</div>,A: Who are the members of tomorrow's party?<div>B: The teacher and us.</div>,メンバー-member,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0035,つなぐ,つなぐ,"to put together, to tie together, to connect",[sound:JLPT_Tango_N3_0035.mp3],子どもたちは、手をつないで学校に行く。,子[こ]どもたちは、 手[て]をつないで 学校[がっこう]に 行[い]く。,The children go to school holding hands.,繋ぐ,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0036,つながる,つながる,"to be put together, to be connected",[sound:JLPT_Tango_N3_0036.mp3],夜になっても、電話がつながらない。,夜[よる]になっても、 電話[でんわ]がつながらない。,"Even at night, my calls won't go through.",繋がる,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0037,当時,当時[とうじ],"at that time, then",[sound:JLPT_Tango_N3_0037.mp3],彼女はクラスメートだったが、当時は、あまり話さなかった。,彼女[かのじょ]はクラスメートだったが、 当時[とうじ]は、あまり 話[はな]さなかった。,"She was my classmate, but we didn't talk much back then.",,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0038,祝う,祝[いわ]う,to celebrate,[sound:JLPT_Tango_N3_0038.mp3],友だちの婚約を祝うための会を開いた。,友[とも]だちの 婚約[こんやく]を 祝[いわ]うための 会[かい]を 開[ひら]いた。,We threw a party to celebrate our friend's engagement.,,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0038-005,【お】祝い,【お】 祝[いわ]い,celebration,[sound:JLPT_Tango_N3_0038-005.mp3],,,,,,,,related or similar to 祝う,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,
JLPT_Tango_N3_0038-006,お祝いする,お 祝[いわ]いする,to celebrate,[sound:JLPT_Tango_N3_0038-006.mp3],,,,,,,,same meaning as 祝う,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,
JLPT_Tango_N3_0039,遠慮＜する＞,遠慮[えんりょ]＜する＞,"hesitation, declining",[sound:JLPT_Tango_N3_0039.mp3],遠慮しないで食べてください。,遠慮[えんりょ]しないで 食[た]べてください。,Please don't hesitate to eat some.,,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0040,しょっちゅう,しょっちゅう,"often, frequently",[sound:JLPT_Tango_N3_0040.mp3],幼なじみとしょっちゅう食事している。,幼[おさな]なじみとしょっちゅう 食事[しょくじ]している。,I often have a meal with my childhood friend.,,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0041,たびたび,たびたび,"again and again, repeatedly",[sound:JLPT_Tango_N3_0041.mp3],仕事中に、友だちからたびたびメールが来る。,仕事[しごと] 中[ちゅう]に、 友[とも]だちからたびたびメールが 来[く]る。,I get messages from my friend again and again while at work.,度々,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0042,たまに,たまに,"occasionally, once in a while",[sound:JLPT_Tango_N3_0042.mp3],大学の友だちとたまにお酒を飲む。,大学[だいがく]の 友[とも]だちとたまにお 酒[さけ]を 飲[の]む。,I sometimes go drinking with my friends from college.,,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0043,たまたま,たまたま,"by chance, unexpectedly",[sound:JLPT_Tango_N3_0043.mp3],昨日駅前で、たまたま高校時代の友だちに会った。,昨日[きのう] 駅前[えきまえ]で、たまたま 高校[こうこう] 時代[じだい]の 友[とも]だちに 会[あ]った。,"Yesterday, I happened to meet an old friend from high school in front of the station.",偶々,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0044,めったに,めったに,rarely,[sound:JLPT_Tango_N3_0044.mp3],東京に来てから、幼なじみとめったに会えない。,東京[とうきょう]に 来[き]てから、 幼[おさな]なじみとめったに 会[あ]えない。,"Since coming to Tokyo, I'm rarely able to meet with my childhood friends.",滅多,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0045,しばらく,しばらく,"a while, a moment",[sound:JLPT_Tango_N3_0045.mp3],幼なじみとしばらく会っていない。,幼[おさな]なじみとしばらく 会[あ]っていない。,I haven't seen my childhood friend in a while.,,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0046-001,別々＜な＞,別々[べつべつ]＜な＞,"different, separate",[sound:JLPT_Tango_N3_0046-001.mp3],①　親友とは別々の大学に進んだ。,①　 親友[しんゆう]とは 別々[べつべつ]の 大学[だいがく]に 進[すす]んだ。,①　I went on to a different college than my close friend.,,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0046-002,別々＜な＞,別々[べつべつ]＜な＞,"different, separate",[sound:JLPT_Tango_N3_0046-002.mp3],②　これは別々に入れてください。,②　これは 別々[べつべつ]に 入[い]れてください。,②　Please put this in separately.,,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
JLPT_Tango_N3_0047,彼女,彼女[かのじょ],girlfriend,[sound:JLPT_Tango_N3_0047.mp3],彼女ができたので、毎日が楽しい。,彼女[かのじょ]ができたので、 毎日[まいにち]が 楽[たの]しい。,"I have a girlfriend now, so every day is fun.",,,,,彼女 is also used as a pronoun for girls and women.,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0048,彼,彼[かれ],boyfriend,[sound:JLPT_Tango_N3_0048.mp3],両親は、彼をあまり好きじゃないようだ。,両親[りょうしん]は、 彼[かれ]をあまり 好[す]きじゃないようだ。,My parents don't really seem to like my boyfriend.,,,,,"彼 is also used as a pronoun for boys and men, while 彼氏 is only used to mean male lover.",Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0048-005,彼氏,彼氏[かれし],boyfriend,[sound:JLPT_Tango_N3_0048-005.mp3],,,,,,,,"same meaning as 彼<div>彼 is also used as a pronoun for boys and men, while 彼氏 is only used to mean male lover.</div>",Ch 01 - 人と人との関係,Sect 03 - 恋人,
JLPT_Tango_N3_0049,愛情,愛情[あいじょう],love,[sound:JLPT_Tango_N3_0049.mp3],やさしい人だとわかり、友情が愛情に変わった。,やさしい 人[ひと]だとわかり、 友情[ゆうじょう]が 愛情[あいじょう]に 変[か]わった。,"I realized that he was a kind person, and our friendship turned to love.",,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0050,出会い,出会[であ]い,encounter,[sound:JLPT_Tango_N3_0050.mp3],それはドラマのような出会いだった。,それはドラマのような 出会[であ]いだった。,Our meeting was like something out of a TV drama.,,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0051,出会う,出会[であ]う,"to come across, to encounter",[sound:JLPT_Tango_N3_0051.mp3],アメリカに旅行したとき、彼女に出会った。,アメリカに 旅行[りょこう]したとき、 彼女[かのじょ]に 出会[であ]った。,I met her when I traveled to America.,,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0052-001,付き合う,付き合[つきあ]う,"to go out with, to date, to accompany, to go with",[sound:JLPT_Tango_N3_0052-001.mp3],①　二人は半年前から付き合っている。,①　二人[ふたり]は 半年[はんとし] 前[まえ]から 付き合[つきあ]っている。,①　Those two have been dating since six months ago.,,,,,① to socialize,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0052-002,付き合う,付き合[つきあ]う,"to go out with, to date, to accompany, to go with",[sound:JLPT_Tango_N3_0052-002.mp3],②　これから友だちの買い物に付き合う。,② これから 友[とも]だちの 買い物[かいもの]に 付き合[つきあ]う。,②　I'm going to go shopping with my friend now.,,,,,② to accompany someone else on an activity,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0052-005,付き合い,付き合[つきあ]い,socializing,[sound:JLPT_Tango_N3_0052-005.mp3],,,,,,,,related or similar to 付き合う,Ch 01 - 人と人との関係,Sect 03 - 恋人,
JLPT_Tango_N3_0053,交際＜する＞,交際[こうさい]＜する＞,association,[sound:JLPT_Tango_N3_0053.mp3],彼女の両親が、二人の交際に反対している。,彼女[かのじょ]の 両親[りょうしん]が、二人[ふたり]の 交際[こうさい]に 反対[はんたい]している。,Her parents are against the couple's relationship.,,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0054,記念＜する＞,記念[きねん]＜する＞,commemoration,[sound:JLPT_Tango_N3_0054.mp3],彼女の卒業を記念して、写真を撮った。,彼女[かのじょ]の 卒業[そつぎょう]を 記念[きねん]して、 写真[しゃしん]を 撮[と]った。,We took a picture to commemorate her graduation.,,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0055,記念日,記念[きねん] 日[び],anniversary,[sound:JLPT_Tango_N3_0055.mp3],明日は結婚記念日だ。,明日[あした]は 結婚[けっこん] 記念[きねん] 日[び]だ。,Tomorrow is my wedding anniversary.,,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0056,けんか＜する＞,けんか＜する＞,"fight, dispute",[sound:JLPT_Tango_N3_0056.mp3],私たちは、よくけんかする。,私[わたし]たちは、よくけんかする。,We fight a lot.,,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0056-005,口げんか＜する＞,口[くち]げんか＜する＞,"argument, verbal dispute",[sound:JLPT_Tango_N3_0056-005.mp3],,,,,,,,related or similar to けんか＜する＞,Ch 01 - 人と人との関係,Sect 03 - 恋人,
JLPT_Tango_N3_0057,言い返す,言い返[いいかえ]す,"to talk back, to retort",[sound:JLPT_Tango_N3_0057.mp3],彼は注意されると、すぐ言い返す。,彼[かれ]は 注意[ちゅうい]されると、すぐ 言い返[いいかえ]す。,"Whenever anyone warns him about something, he immediately says something back.",,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0058,謝る,謝[あやま]る,to apologize,[sound:JLPT_Tango_N3_0058.mp3],私が怒ると、彼はすぐに謝る。,私[わたし]が 怒[おこ]ると、 彼[かれ]はすぐに 謝[あやま]る。,"When I get angry, he immediately apologizes.",,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0059,仲直り＜する＞,仲直[なかなお]り＜する＞,"making up, reconciliation",[sound:JLPT_Tango_N3_0059.mp3],３日前にけんかして、まだ仲直りしていない。,３日[みっか] 前[まえ]にけんかして、まだ 仲直[なかなお]りしていない。,"We had a fight three days ago, and still haven't made up.",,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0060,連れて行く,連[つ]れて 行[い]く,to take (someone) along,[sound:JLPT_Tango_N3_0060.mp3],両親の家に彼女を連れて行きたい。,両親[りょうしん]の 家[いえ]に 彼女[かのじょ]を 連[つ]れて 行[い]きたい。,I want to take my girlfriend to my parent's house.,,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0061,連れて来る,連[つ]れて 来[く]る,to bring (someone) along,[sound:JLPT_Tango_N3_0061.mp3],兄が彼女を家に連れて来た。,兄[あに]が 彼女[かのじょ]を 家[いえ]に 連[つ]れて 来[き]た。,My older brother brought his girlfriend home.,,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0062,秘密,秘密[ひみつ],"secret, mystery",[sound:JLPT_Tango_N3_0062.mp3],彼は私の秘密を、みんなに話した。,彼[かれ]は 私[わたし]の 秘密[ひみつ]を、みんなに 話[はな]した。,He told everyone my secret.,,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0063,内緒,内緒[ないしょ],secret,[sound:JLPT_Tango_N3_0063.mp3],この話は、ぜったいに内緒にしてね。,この 話[はなし]は、ぜったいに 内緒[ないしょ]にしてね。,Please keep what we've talked about an absolute secret.,,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0064,好かれる,好[す]かれる,to be liked,[sound:JLPT_Tango_N3_0064.mp3],彼女は、みんなに好かれる人だ。,彼女[かのじょ]は、みんなに 好[す]かれる 人[ひと]だ。,She is liked by everyone.,,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0065,もてる,もてる,to be popular,[sound:JLPT_Tango_N3_0065.mp3],どうして彼が女性にもてるのか、わからない。,どうして 彼[かれ]が 女性[じょせい]にもてるのか、わからない。,I don't understand why he is so popular with women.,持つ,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0066,（人を）ふる,（ 人[ひと]を）ふる,"to dump, to turn down (someone)",[sound:JLPT_Tango_N3_0066.mp3],弟は彼女にふられて、元気がない。,弟[おとうと]は 彼女[かのじょ]にふられて、 元気[げんき]がない。,"My younger brother was dumped by his girlfriend, so he's depressed.",,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0067,［お］見合い＜する＞,［お］ 見合[みあ]い＜する＞,"formal marriage interview, dating for the purpose of finding a spouse, arranged meeting",[sound:JLPT_Tango_N3_0067.mp3],姉はお見合いの前に、美容院へ行った。,姉[あね]はお 見合[みあ]いの 前[まえ]に、 美容[びよう] 院[いん]へ 行[い]った。,"Before going to her formal marriage interview, my older sister went to the beauty salon.",,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
JLPT_Tango_N3_0067-005,見合い結婚,見合[みあ]い 結婚[けっこん],arrange marriage,[sound:JLPT_Tango_N3_0067-005.mp3],,,,,,,,related or similar to ［お］見合い＜する＞,Ch 01 - 人と人との関係,Sect 03 - 恋人,
JLPT_Tango_N3_0068,恋愛＜する＞,恋愛[れんあい]＜する＞,"love, affection",[sound:JLPT_Tango_N3_0068.mp3],今は恋愛より、いい友だちがほしい。,今[いま]は 恋愛[れんあい]より、いい 友[とも]だちがほしい。,"Right now, I'd like a good friend more than love.",,,,,,Ch 01 - 人と人との関係,Sect 03 - 恋人,X
