Tango Index,Vocab-Japan,Vocab-Furigana,Vocab-English,audio file,Sent-Japan,Sent-Furigana,Sent-English,Alternate,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent,Chap Sort,Tag
JLPT_Tango_N2_0007,甘える,甘[あま]える,"To Be Spoiled, To Be Dependent",[sound:JLPT_Tango_N2_0007.mp3],妹は子どもの頃から、母に甘えている。,妹[いもうと]は子[こ]どもの頃[ころ]から、母[はは]に甘[あま]えている。,My little sister has been dependent on our mother ever since she was a child.,,0,"和, 動詞, 一般, *, 下一段-ア行",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,7,Sentence
JLPT_Tango_N2_0007-005,甘え,甘[あま]え,Lack Of Self-reliance,[sound:JLPT_Tango_N2_0007-005.mp3],,,,,0,"和, 名詞, 普通名詞, 一般, *",,Related to 甘える,Ch 01 - 人と人の関係,Sect 01 - 家族,,7.1,Additional
JLPT_Tango_N2_0007-006,甘やかす,甘[あま]やかす,To Spoil,[sound:JLPT_Tango_N2_0007-006.mp3],,,,,"4,0","和, 動詞, 一般, *, 五段-サ行",,Related to 甘える,Ch 01 - 人と人の関係,Sect 01 - 家族,,7.2,Additional
JLPT_Tango_N2_0008,世間知らず,世間[せけん]知[し]らず,"Ignorant Of The Outside World, Inexperienced",[sound:JLPT_Tango_N2_0008.mp3],父に「おまえは世間知らずだ」と言われた。,父[ちち]に「おまえは世間[せけん]知[し]らずだ」と言[い]われた。,"My father told me, """"You are ignorant of the world.""""",,,,,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,8,Sentence
JLPT_Tango_N2_0009,しつけ,しつけ,Discipline,[sound:JLPT_Tango_N2_0009.mp3],子どものしつけは、親の義務だ。,子[こ]どものしつけは、親[おや]の義務[ぎむ]だ。,Disciplining their children is the parents' duty.,仕付け,0,"和, 名詞, 普通名詞, 一般, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,9,Sentence
JLPT_Tango_N2_0009-005,しつける,しつける,To Discipline,[sound:JLPT_Tango_N2_0009-005.mp3],,,,仕付ける,3,"和, 動詞, 一般, *, 下一段-カ行",,Related to しつけ,Ch 01 - 人と人の関係,Sect 01 - 家族,,9.1,Additional
JLPT_Tango_N2_0010,言いつける,言[い]いつける,Tell,[sound:JLPT_Tango_N2_0010.mp3],兄は妹のいたずらを母に言いつけた。,兄[あに]は妹[いもうと]のいたずらを母[はは]に言[い]いつけた。,My big brother told his mother about his little sister's.,言い付ける,4,"和, 動詞, 一般, *, 下一段-カ行",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,10,Sentence
JLPT_Tango_N2_0011,自立(する),自立[じりつ](する),Independence,[sound:JLPT_Tango_N2_0011.mp3],兄は自立して、一人暮らしをしている。,兄[あに]は自立[じりつ]して、一人暮[ひとりぐ]らしをしている。,My big brother has left home and lives on his own.,,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,11,Sentence
JLPT_Tango_N2_0012,言い出す,言[い]い出[だ]す,Start Saying,[sound:JLPT_Tango_N2_0012.mp3],妹はアメリカに語学留学したいと言い出した。,妹[いもうと]はアメリカに語学[ごがく]留学[りゅうがく]したいと言[い]い出[だ]した。,My younger sister started to say she wants to study English in the United States.,,,,,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,12,Sentence
JLPT_Tango_N2_0013,意思,意思[いし],Intention,[sound:JLPT_Tango_N2_0013.mp3],親に自分の意思を伝えるのは難しい。,親[おや]に自分[じぶん]の意思[いし]を伝[つた]えるのは難[むずか]しい。,It is difficult to tell your parents of your intentions.,,1,"漢, 名詞, 普通名詞, 一般, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,13,Sentence
JLPT_Tango_N2_0014,尊重(する),尊重[そんちょう](する),Respect,[sound:JLPT_Tango_N2_0014.mp3],両親はいつも、私の意見を尊重してくれる。,両親[りょうしん]はいつも、私[わたし]の意見[いけん]を尊重[そんちょう]してくれる。,My parents always respects my opinion.,,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,14,Sentence
JLPT_Tango_N2_0015,説得(する),説得[せっとく](する),Convince,[sound:JLPT_Tango_N2_0015.mp3],父は私の留学に反対だったが、母が説得してくれた。,父[ちち]は私[わたし]の留学[りゅうがく]に反対[はんたい]だったが、母[はは]が説得[せっとく]してくれた。,"My father was against me studying abroad, but my mother convinced him.",,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,15,Sentence
JLPT_Tango_N2_0016,納得(する),納得[なっとく](する),Acknowledgement,[sound:JLPT_Tango_N2_0016.mp3],父は私の留学を、やっと納得してくれた。,父[ちち]は私[わたし]の留学[りゅうがく]を、やっと納得[なっとく]してくれた。,My father finally agreed to my studying aboroad.,,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,16,Sentence
JLPT_Tango_N2_0017-001,逆らう,逆[さか]らう,To Rebel / To Go Against,[sound:JLPT_Tango_N2_0017-001.mp3],① 若いときは、よく親に逆らった。,① 若[わか]いときは、よく親[おや]に逆[さか]らった。,① I often rebeled against my parents when I was young.,,3,"和, 動詞, 一般, *, 五段-ワア行",,① To take a rebellious attitude toward one's parents and seniors,Ch 01 - 人と人の関係,Sect 01 - 家族,X,17,Sentence
JLPT_Tango_N2_0017-002,逆らう,逆[さか]らう,To Rebel / To Go Against,[sound:JLPT_Tango_N2_0017-002.mp3],② 強い風に逆らって歩く。,② 強[つよ]い風[かぜ]に逆[さか]らって歩[ある]く。,② I walk against the strong wind.,,3,"和, 動詞, 一般, *, 五段-ワア行",,② To move in the opposite direction to the flow,Ch 01 - 人と人の関係,Sect 01 - 家族,X,18,Sentence
JLPT_Tango_N2_0017-005,抵抗(する),抵抗[ていこう](する),Resistance,[sound:JLPT_Tango_N2_0017-005.mp3],,,,,0,"漢, 名詞, 普通名詞, サ変可能, *",,Related to 逆らう,Ch 01 - 人と人の関係,Sect 01 - 家族,,18.1,Additional
JLPT_Tango_N2_0018,反省(する),反省[はんせい](する),Reflection,[sound:JLPT_Tango_N2_0018.mp3],昔親に逆らったことを、今は反省している。,昔[むかし]親[おや]に逆[さか]らったことを、今[いま]は反省[はんせい]している。,I am now sorry that I rebeled against my parents when I was young.,,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,19,Sentence
JLPT_Tango_N2_0018-005,反省会,反省[はんせい]会[かい],Reflection Meeting,[sound:JLPT_Tango_N2_0018-005.mp3],,,,,,,,Related to 反省(する),Ch 01 - 人と人の関係,Sect 01 - 家族,,19.1,Additional
JLPT_Tango_N2_0019,放っておく,放[ほう]っておく,To Leave Alone,[sound:JLPT_Tango_N2_0019.mp3],父はいちいちうるさい。放っておいてほしい。,父[ちち]はいちいちうるさい。放[ほう]っておいてほしい。,My father is  always nitpicking. I want him to leave me alone.,,,,,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,20,Sentence
JLPT_Tango_N2_0020,介護(する),介護[かいご](する),Nursing,[sound:JLPT_Tango_N2_0020.mp3],家族みんなで祖母を介護している。,家族[かぞく]みんなで祖母[そぼ]を介護[かいご]している。,The entire family helps in nursing our grandmother.,,1,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,21,Sentence
JLPT_Tango_N2_0020-005,介護士,介護[かいご]士[し],Nurse,[sound:JLPT_Tango_N2_0020-005.mp3],,,,,,,,Related to 介護(する),Ch 01 - 人と人の関係,Sect 01 - 家族,,21.1,Additional
JLPT_Tango_N2_0021,ホームヘルパー,ホームヘルパー,"Home Helper, Home Care Worker",[sound:JLPT_Tango_N2_0021.mp3],週に３回、ホームヘルパーに来てもらう。,週[しゅう]に３回[かい]、ホームヘルパーに来[き]てもらう。,The home helper comes three times a week.,,,,,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,22,Sentence
JLPT_Tango_N2_0022,世代,世代[せだい],Generation,[sound:JLPT_Tango_N2_0022.mp3],世代が違うと、話が合わないこともある。,世代[せだい]が違[ちが]うと、話[はなし]が合[あ]わないこともある。,It's difficult to communicate amoung different generations.,,"0,1","漢, 名詞, 普通名詞, 一般, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,23,Sentence
JLPT_Tango_N2_0022-005,世代交代,世代[せだい]交代[こうたい],Generation Change,[sound:JLPT_Tango_N2_0022-005.mp3],,,,,,,,Related to 世代,Ch 01 - 人と人の関係,Sect 01 - 家族,,23.1,Additional
JLPT_Tango_N2_0023,継ぐ,継[つ]ぐ,To Inherit,[sound:JLPT_Tango_N2_0023.mp3],来年、父の会社を継ぐことになった。,来年[らいねん]、父[ちち]の会社[かいしゃ]を継[つ]ぐことになった。,I will inherit my father's company next year.,,0,"和, 動詞, 一般, *, 五段-ガ行",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,24,Sentence
JLPT_Tango_N2_0023-005,受け継ぐ,受け継[うけつ]ぐ,To Inherit,[sound:JLPT_Tango_N2_0023-005.mp3],,,,,"0,3","和, 動詞, 一般, *, 五段-ガ行",,Related to 継ぐ,Ch 01 - 人と人の関係,Sect 01 - 家族,,24.1,Additional
JLPT_Tango_N2_0024,妊娠(する),妊娠[にんしん](する),Pregnancy,[sound:JLPT_Tango_N2_0024.mp3],妹は妊娠３か月だ。,妹[いもうと]は妊娠[にんしん]３か月だ。,My younger sister is three months pregnant.,,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,25,Sentence
JLPT_Tango_N2_0024-005,産婦人科,産[さん]婦人[ふじん]科[か],Obstetrics And Gynecology,[sound:JLPT_Tango_N2_0024-005.mp3],,,,,,,,Related to 妊娠(する),Ch 01 - 人と人の関係,Sect 01 - 家族,,25.1,Additional
JLPT_Tango_N2_0024-006,妊婦,妊婦[にんぷ],Pregnant Woman,[sound:JLPT_Tango_N2_0024-006.mp3],,,,,1,"漢, 名詞, 普通名詞, 一般, *",,Related to 妊娠(する),Ch 01 - 人と人の関係,Sect 01 - 家族,,25.2,Additional
JLPT_Tango_N2_0025,出産(する),出産[しゅっさん](する),Child Birth,[sound:JLPT_Tango_N2_0025.mp3],実家の近くの病院で出産することにした。,実家[じっか]の近[ちか]くの病院[びょういん]で出産[しゅっさん]することにした。,I decided to give birth at a hospital near my parents' home.,,0,"漢, 名詞, 普通名詞, サ変可能, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,26,Sentence
JLPT_Tango_N2_0025-005,出産祝い,出産[しゅっさん]祝[いわ]い,Baby Gift,[sound:JLPT_Tango_N2_0025-005.mp3],,,,,,,,Related to 出産(する),Ch 01 - 人と人の関係,Sect 01 - 家族,,26.1,Additional
JLPT_Tango_N2_0026,産む,産[う]む,To Give Birth,[sound:JLPT_Tango_N2_0026.mp3],姉は二十歳のときに長男を産んだ。,姉[あね]は二十[にじゅう]歳[さい]のときに長男[ちょうなん]を産[う]んだ。,My older sister gave birth to her eldest son when she was 20 years old.,生む,0,"和, 動詞, 一般, *, 五段-マ行",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,27,Sentence
JLPT_Tango_N2_0026-005,生まれる,生[う]まれる,To Be Born,[sound:JLPT_Tango_N2_0026-005.mp3],,,,,0,"和, 動詞, 一般, *, 下一段-ラ行",,Related to 産む,Ch 01 - 人と人の関係,Sect 01 - 家族,,27.1,Additional
JLPT_Tango_N2_0026-101,高学歴,高[こう]学歴[がくれき],Well-educated,[sound:JLPT_Tango_N2_0026-101.mp3],,,,,,,,,Ch 01 - 人と人の関係,これも覚えよう！01 - 接辞：程度：高～,,,Remember
JLPT_Tango_N2_0026-102,高学年,高[こう]学年[がくねん],Upper Grade,[sound:JLPT_Tango_N2_0026-102.mp3],,,,,,,,,Ch 01 - 人と人の関係,これも覚えよう！01 - 接辞：程度：高～,,,Remember
JLPT_Tango_N2_0026-103,高収入,高[こう]収入[しゅうにゅう],High Income,[sound:JLPT_Tango_N2_0026-103.mp3],,,,,,,,,Ch 01 - 人と人の関係,これも覚えよう！01 - 接辞：程度：高～,,,Remember
JLPT_Tango_N2_0026-104,高性能,高[こう]性能[せいのう],High Performance,[sound:JLPT_Tango_N2_0026-104.mp3],,,,,,,,,Ch 01 - 人と人の関係,これも覚えよう！01 - 接辞：程度：高～,,,Remember
JLPT_Tango_N2_0026-105,高気圧,高[こう]気圧[きあつ],High Atmospheric Pressure,[sound:JLPT_Tango_N2_0026-105.mp3],,,,,,,,,Ch 01 - 人と人の関係,これも覚えよう！01 - 接辞：程度：高～,,,Remember
JLPT_Tango_N2_0026-106,高血圧,高[こう]血圧[けつあつ],High Blood Pressure,[sound:JLPT_Tango_N2_0026-106.mp3],,,,,,,,,Ch 01 - 人と人の関係,これも覚えよう！01 - 接辞：程度：高～,,,Remember
JLPT_Tango_N2_0027,友人,友人[ゆうじん],Friend,[sound:JLPT_Tango_N2_0027.mp3],国から友人が遊びに来た。,国[くに]から友人[ゆうじん]が遊[あそ]びに来[き]た。,My friend from my home country came to visit.,,0,"漢, 名詞, 普通名詞, 一般, *",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,1,Sentence
JLPT_Tango_N2_0027-005,友人達,友人[ゆうじん]達[たち],Friends,[sound:JLPT_Tango_N2_0027-005.mp3],,,,,,,,Related to 友人,Ch 01 - 人と人の関係,Sect 02 - 友達,,1.1,Additional
JLPT_Tango_N2_0028,仲,仲[なか],Relationship,[sound:JLPT_Tango_N2_0028.mp3],このクラスの生徒は、とても仲がいい。,このクラスの生徒[せいと]は、とても仲[なか]がいい。,The students of this class are close to each other.,,1,"和, 名詞, 普通名詞, 一般, *",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,2,Sentence
JLPT_Tango_N2_0028-005,仲良し,仲良[なかよ]し,Friends,[sound:JLPT_Tango_N2_0028-005.mp3],,,,,2,"和, 名詞, 普通名詞, 一般, *",,Related to 仲,Ch 01 - 人と人の関係,Sect 02 - 友達,,2.1,Additional
JLPT_Tango_N2_0029,縁,縁[えん],Fate,[sound:JLPT_Tango_N2_0029.mp3],縁があって、彼女と親友になれた。,縁[えん]があって、彼女[かのじょ]と親友[しんゆう]になれた。,It was fate that I became best friends with her.,,1,"漢, 名詞, 普通名詞, 一般, *",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,3,Sentence
JLPT_Tango_N2_0030,ニックネーム,ニックネーム,Nickname,[sound:JLPT_Tango_N2_0030.mp3],彼と私はニックネームで呼び合っている。,彼[かれ]と私[わたし]はニックネームで呼び合[よびあ]っている。,He and I call each other by nicknames.,ニックネーム-nickname,4,"外, 名詞, 普通名詞, 一般, *",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,4,Sentence
JLPT_Tango_N2_0030-005,愛称,愛称[あいしょう],Nickname,[sound:JLPT_Tango_N2_0030-005.mp3],,,,,0,"漢, 名詞, 普通名詞, 一般, *",,Related to ニックネーム,Ch 01 - 人と人の関係,Sect 02 - 友達,,,Additional
JLPT_Tango_N2_0031,大半,大半[たいはん],Most Of,[sound:JLPT_Tango_N2_0031.mp3],一日の大半の時間を友達と過ごしている。,一[いち]日[にち]の大半[たいはん]の時間[じかん]を友達[ともだち]と過[す]ごしている。,I spend most part of the day with my friends.,,"0,3","漢, 名詞, 普通名詞, 一般, *",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,5,Sentence
JLPT_Tango_N2_0032,恵まれる,恵[めぐ]まれる,To Blessed With,[sound:JLPT_Tango_N2_0032.mp3],私は、いつも友人に恵まれている。,私[わたし]は、いつも友人[ゆうじん]に恵[めぐ]まれている。,I am always blessed with friends.,,"0,4","和, 動詞, 一般, *, 下一段-ラ行",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,6,Sentence
JLPT_Tango_N2_0033,頼る,頼[たよ]る,To Depend,[sound:JLPT_Tango_N2_0033.mp3],私達は親友なのだから、困ったときは頼ってほしい。,私[わたし]達[たち]は親友[しんゆう]なのだから、困[こま]ったときは頼[たよ]ってほしい。,"We are best friends, so I want you to depend on me when you are in trouble.",,2,"和, 動詞, 一般, *, 五段-ラ行",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,7,Sentence
JLPT_Tango_N2_0033-005,頼りにする,頼[たよ]りにする,To Rely On,[sound:JLPT_Tango_N2_0033-005.mp3],,,,,,,,Related to 頼る,Ch 01 - 人と人の関係,Sect 02 - 友達,,7.1,Additional
JLPT_Tango_N2_0033-006,頼りになる,頼[たよ]りになる,To Be Reliable,[sound:JLPT_Tango_N2_0033-006.mp3],,,,,,,,Related to 頼る,Ch 01 - 人と人の関係,Sect 02 - 友達,,7.2,Additional
JLPT_Tango_N2_0034,頼もしい,頼[たの]もしい,Dependable,[sound:JLPT_Tango_N2_0034.mp3],彼女は何でも相談できる頼もしい存在だ。,彼女[かのじょ]は何[なん]でも相談[そうだん]できる頼[たの]もしい存在[そんざい]だ。,She is a dependable friend and I can confide in her with anything.,,4,"和, 形容詞, 一般, *, 形容詞",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,8,Sentence
JLPT_Tango_N2_0035,見習う,見習[みなら]う,To Emulate,[sound:JLPT_Tango_N2_0035.mp3],私には見習うべき友人が何人かいる。,私[わたし]には見習[みなら]うべき友人[ゆうじん]が何[なん]人[にん]かいる。,I have some friends that I should emulate.,,"3,0","和, 動詞, 一般, *, 五段-ワア行",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,9,Sentence
JLPT_Tango_N2_0035-005,見習い,見習[みなら]い,Apprentice,[sound:JLPT_Tango_N2_0035-005.mp3],,,,,0,"和, 名詞, 普通名詞, 一般, *",,Related to 見習う,Ch 01 - 人と人の関係,Sect 02 - 友達,,9.1,Additional
JLPT_Tango_N2_0036,打ち明ける,打ち明[うちあ]ける,To Confess,[sound:JLPT_Tango_N2_0036.mp3],親友だけに秘密を打ち明けた。,親友[しんゆう]だけに秘密[ひみつ]を打ち明[うちあ]けた。,I shared my secret only with my best friend.,,"0,4","和, 動詞, 一般, *, 下一段-カ行",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,10,Sentence
JLPT_Tango_N2_0037,励ます,励[はげ]ます,To Encourage,[sound:JLPT_Tango_N2_0037.mp3],私が試験に落ちたとき、友達が励ましてくれた。,私[わたし]が試験[しけん]に落[お]ちたとき、友達[ともだち]が励[はげ]ましてくれた。,My friend cheered me up when I flunked the test.,,3,"和, 動詞, 一般, *, 五段-サ行",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,11,Sentence
JLPT_Tango_N2_0038,あえて,あえて,"Venture To, Daringly",[sound:JLPT_Tango_N2_0038.mp3],大切な友達だから、あえて厳しい忠告もする。,大切[たいせつ]な友達[ともだち]だから、あえて厳[きび]しい忠告[ちゅうこく]もする。,I dare to offer bitter advice since he is an important friend to me.,敢えて,1,"和, 副詞, *, *, *",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,12,Sentence
JLPT_Tango_N2_0039,なぐさめる,なぐさめる,To Console,[sound:JLPT_Tango_N2_0039.mp3],彼女にふられたとき、友達がなぐさめてくれた。,彼女[かのじょ]にふられたとき、友達[ともだち]がなぐさめてくれた。,My friend comforted me when I got dumped by my girlfriend.,慰める,"4,0","和, 動詞, 一般, *, 下一段-マ行",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,13,Sentence
JLPT_Tango_N2_0040,察する,察[さっ]する,To Infer,[sound:JLPT_Tango_N2_0040.mp3],彼女の気持ちを察して、何も言わなかった。,彼女[かのじょ]の気持[きも]ちを察[さっ]して、何[なん]も言[い]わなかった。,I didn't say anything because I understood how she felt.,,"0,3","混, 動詞, 一般, *, サ行変格",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,14,Sentence
JLPT_Tango_N2_0041,思いやり,思[おも]いやり,Thoughtfulness,[sound:JLPT_Tango_N2_0041.mp3],周りの人への思いやりを大切にしたい。,周[まわ]りの人[ひと]への思[おも]いやりを大切[たいせつ]にしたい。,I want to be thoughtful of the feelings of people around me.,思い遣り,0,"和, 名詞, 普通名詞, 一般, *",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,15,Sentence
JLPT_Tango_N2_0041-005,思いやる,思[おも]いやる,To Be Thoughtful,[sound:JLPT_Tango_N2_0041-005.mp3],,,,思い遣る,"4,0,2","和, 動詞, 一般, *, 五段-ラ行",,Related to 思いやり,Ch 01 - 人と人の関係,Sect 02 - 友達,,15.1,Additional
JLPT_Tango_N2_0042,何気ない,何[なん]気[げ]ない,Casual,[sound:JLPT_Tango_N2_0042.mp3],友達との何気ない会話が楽しい。,友達[ともだち]との何[なん]気[げ]ない会話[かいわ]が楽[たの]しい。,Casual conversation with friends is fun.,,,,,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,16,Sentence
JLPT_Tango_N2_0043,からかう,からかう,To Tease,[sound:JLPT_Tango_N2_0043.mp3],彼女ができて、友達にからかわれた。,彼女[かのじょ]ができて、友達[ともだち]にからかわれた。,"I got a new girlfreind, and my friends made fun of me.",,3,"和, 動詞, 一般, *, 五段-ワア行",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,17,Sentence
JLPT_Tango_N2_0044,幹事,幹事[かんじ],"Organizer, Person In Charge",[sound:JLPT_Tango_N2_0044.mp3],仲間の飲み会では、いつも私が幹事だ。,仲間[なかま]の飲み会[のみかい]では、いつも私[わたし]が幹事[かんじ]だ。,I'm always in charge of arranging drinking parties with friends.,,1,"漢, 名詞, 普通名詞, 一般, *",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,18,Sentence
JLPT_Tango_N2_0045,呼び出す,呼び出[よびだ]す,"To Send For, To Summon",[sound:JLPT_Tango_N2_0045.mp3],夜遅く、親友に「飲みに行こう」と呼び出された。,夜[よる]遅[おそ]く、親友[しんゆう]に「飲[の]みに行[い]こう」と呼び出[よびだ]された。,My best frind called me out for drinks late at night.,,3,"和, 動詞, 一般, *, 五段-サ行",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,19,Sentence
JLPT_Tango_N2_0046-001,盛り上がる,盛り上[もりあ]がる,To Liven Up / To Surge,[sound:JLPT_Tango_N2_0046-001.mp3],① パーティーは盛り上がって、夜中まで続いた。,① パーティーは盛り上[もりあ]がって、夜中[よなか]まで続[つづ]いた。,① The party livened up and continued till midnight.,,"4,0","和, 動詞, 一般, *, 五段-ラ行",,① Become excited,Ch 01 - 人と人の関係,Sect 02 - 友達,X,20,Sentence
JLPT_Tango_N2_0046-002,盛り上がる,盛り上[もりあ]がる,To Liven Up / To Surge,[sound:JLPT_Tango_N2_0046-002.mp3],② 地震で道が盛り上がった。,② 地震[じしん]で道[みち]が盛り上[もりあ]がった。,② The road surged up because of the earthquake.,,"4,0","和, 動詞, 一般, *, 五段-ラ行",,② Expand and rise,Ch 01 - 人と人の関係,Sect 02 - 友達,X,21,Sentence
JLPT_Tango_N2_0047,あきれる,あきれる,"To Be Appalled, To Surge",[sound:JLPT_Tango_N2_0047.mp3],彼はいつも遅刻するので、あきれてしまう。,彼[かれ]はいつも遅刻[ちこく]するので、あきれてしまう。,I am appalled at how he is always late.,呆れる,0,"和, 動詞, 一般, *, 下一段-ラ行",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,22,Sentence
JLPT_Tango_N2_0048,ふざける,ふざける,To Fool Around,[sound:JLPT_Tango_N2_0048.mp3],友達とふざけていたら、転んで足の骨を折った。,友達[ともだち]とふざけていたら、転[ころ]んで足[あし]の骨[ほね]を折[お]った。,I fell and broke my leg because I was fooling around with my friend.,,3,"和, 動詞, 一般, *, 下一段-カ行",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,23,Sentence
JLPT_Tango_N2_0049,久しい,久[ひさ]しい,Long Time,[sound:JLPT_Tango_N2_0049.mp3],高校時代のクラスメートと久しく会っていない。,高校[こうこう]時代[じだい]のクラスメートと久[ひさ]しく会[あ]っていない。,I haven't met my classmate from high school for a long time.,,3,"和, 形容詞, 一般, *, 形容詞",,,Ch 01 - 人と人の関係,Sect 02 - 友達,X,24,Sentence
